/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=3205, episodic_return=[122.16783]
global_step=3223, episodic_return=[89.6917]
global_step=3252, episodic_return=[147.60526]
global_step=3272, episodic_return=[101.65847]
global_step=3295, episodic_return=[117.0087]
global_step=3315, episodic_return=[101.03236]
global_step=3335, episodic_return=[101.411674]
global_step=3359, episodic_return=[123.76387]
global_step=3382, episodic_return=[112.45123]
global_step=3414, episodic_return=[162.5444]
global_step=3433, episodic_return=[95.08586]
global_step=3456, episodic_return=[116.36603]
global_step=3481, episodic_return=[122.28688]
global_step=3502, episodic_return=[105.9759]
global_step=3534, episodic_return=[161.29477]
global_step=3552, episodic_return=[89.4467]
global_step=3588, episodic_return=[185.29942]
global_step=3607, episodic_return=[95.64894]
global_step=3627, episodic_return=[101.55094]
global_step=3656, episodic_return=[141.97037]
global_step=3692, episodic_return=[189.74492]
global_step=3710, episodic_return=[88.22121]
global_step=3731, episodic_return=[102.3483]
global_step=3761, episodic_return=[149.65051]
global_step=3784, episodic_return=[113.75133]
global_step=3801, episodic_return=[83.53759]
global_step=3841, episodic_return=[196.86995]
global_step=3861, episodic_return=[102.33547]
global_step=3888, episodic_return=[138.94699]
global_step=3919, episodic_return=[157.56374]
global_step=3947, episodic_return=[143.87451]
global_step=3985, episodic_return=[183.92366]
global_step=4011, episodic_return=[134.34529]
global_step=4050, episodic_return=[197.68254]
global_step=4067, episodic_return=[83.46823]
global_step=4087, episodic_return=[99.42325]
global_step=4112, episodic_return=[128.953]
global_step=4141, episodic_return=[146.66978]
global_step=4158, episodic_return=[83.341774]
global_step=4176, episodic_return=[89.349396]
global_step=4195, episodic_return=[94.475555]
global_step=4220, episodic_return=[122.85814]
global_step=4252, episodic_return=[165.90489]
global_step=4269, episodic_return=[83.28668]
global_step=4287, episodic_return=[88.568535]
global_step=4311, episodic_return=[116.615326]
global_step=4329, episodic_return=[90.23098]
global_step=4349, episodic_return=[99.71659]
global_step=4370, episodic_return=[106.49089]
global_step=4389, episodic_return=[94.575935]
global_step=4423, episodic_return=[171.85782]
global_step=4458, episodic_return=[166.14734]
global_step=4487, episodic_return=[143.28421]
global_step=4513, episodic_return=[134.63022]
global_step=4538, episodic_return=[126.524254]
global_step=4566, episodic_return=[139.1101]
global_step=4584, episodic_return=[89.284515]
global_step=4607, episodic_return=[115.09084]
global_step=4643, episodic_return=[186.39555]
global_step=4668, episodic_return=[125.42898]
global_step=4686, episodic_return=[88.6227]
global_step=4711, episodic_return=[126.15447]
global_step=4742, episodic_return=[159.80075]
global_step=4772, episodic_return=[155.71246]
global_step=4793, episodic_return=[106.84487]
global_step=4816, episodic_return=[119.7399]
global_step=4839, episodic_return=[118.60988]
global_step=4857, episodic_return=[89.47454]
global_step=4876, episodic_return=[93.85959]
global_step=4896, episodic_return=[97.916176]
global_step=4913, episodic_return=[83.46475]
global_step=4932, episodic_return=[96.51516]
global_step=4949, episodic_return=[83.41497]
global_step=4994, episodic_return=[224.12247]
global_step=5023, episodic_return=[143.90082]
global_step=5054, episodic_return=[162.90843]
global_step=5099, episodic_return=[220.94138]
SPS: 815
global_step=5124, episodic_return=[132.132]
global_step=5145, episodic_return=[106.57551]
global_step=5168, episodic_return=[117.5387]
SPS: 671
global_step=5205, episodic_return=[183.67657]
global_step=5226, episodic_return=[107.33198]
global_step=5254, episodic_return=[143.34639]
global_step=5274, episodic_return=[102.28055]
global_step=5293, episodic_return=[96.58584]
SPS: 548
global_step=5319, episodic_return=[132.40749]
global_step=5337, episodic_return=[88.167496]
global_step=5357, episodic_return=[99.88464]
global_step=5381, episodic_return=[120.56279]
global_step=5400, episodic_return=[94.15664]
SPS: 482
global_step=5422, episodic_return=[113.19739]
global_step=5442, episodic_return=[99.755104]
global_step=5476, episodic_return=[164.71179]
global_step=5497, episodic_return=[103.03724]
SPS: 433
global_step=5514, episodic_return=[83.47639]
global_step=5534, episodic_return=[97.19537]
global_step=5550, episodic_return=[78.348564]
global_step=5574, episodic_return=[123.19275]
global_step=5592, episodic_return=[90.01223]
SPS: 393
