/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=24, episodic_return=[128.80728]
global_step=54, episodic_return=[143.41348]
global_step=72, episodic_return=[88.50248]
global_step=116, episodic_return=[223.39803]
global_step=148, episodic_return=[164.63208]
global_step=174, episodic_return=[134.99805]
global_step=190, episodic_return=[78.21088]
global_step=210, episodic_return=[99.7516]
global_step=228, episodic_return=[89.00474]
global_step=251, episodic_return=[118.862564]
global_step=278, episodic_return=[140.2553]
global_step=315, episodic_return=[189.79482]
global_step=337, episodic_return=[111.583115]
global_step=353, episodic_return=[78.571236]
global_step=372, episodic_return=[94.4786]
global_step=408, episodic_return=[180.09569]
global_step=428, episodic_return=[97.89656]
global_step=450, episodic_return=[111.14501]
global_step=470, episodic_return=[101.67521]
global_step=488, episodic_return=[88.65199]
global_step=524, episodic_return=[185.85663]
global_step=550, episodic_return=[129.44118]
global_step=573, episodic_return=[116.70819]
global_step=595, episodic_return=[110.41677]
global_step=618, episodic_return=[114.64549]
global_step=652, episodic_return=[168.61644]
global_step=670, episodic_return=[88.2773]
global_step=689, episodic_return=[94.90806]
global_step=719, episodic_return=[135.47948]
global_step=739, episodic_return=[101.21715]
global_step=765, episodic_return=[137.70888]
global_step=782, episodic_return=[83.39238]
global_step=808, episodic_return=[132.8511]
global_step=854, episodic_return=[229.0948]
global_step=887, episodic_return=[162.34134]
global_step=905, episodic_return=[88.080956]
global_step=922, episodic_return=[83.43032]
global_step=946, episodic_return=[124.94965]
global_step=965, episodic_return=[94.47444]
global_step=985, episodic_return=[101.307274]
global_step=1006, episodic_return=[105.71813]
global_step=1030, episodic_return=[124.147545]
global_step=1061, episodic_return=[155.92302]
global_step=1091, episodic_return=[143.40065]
global_step=1126, episodic_return=[180.0388]
global_step=1144, episodic_return=[89.194984]
global_step=1163, episodic_return=[96.709496]
global_step=1202, episodic_return=[197.6082]
global_step=1226, episodic_return=[118.73794]
global_step=1253, episodic_return=[131.22977]
global_step=1274, episodic_return=[105.96194]
global_step=1294, episodic_return=[100.01254]
global_step=1330, episodic_return=[175.69191]
global_step=1359, episodic_return=[134.3749]
global_step=1378, episodic_return=[96.10116]
global_step=1398, episodic_return=[99.15063]
global_step=1421, episodic_return=[117.020935]
global_step=1442, episodic_return=[105.18859]
global_step=1471, episodic_return=[149.6569]
global_step=1489, episodic_return=[88.60252]
global_step=1509, episodic_return=[101.38125]
global_step=1530, episodic_return=[106.469955]
global_step=1548, episodic_return=[88.35371]
global_step=1566, episodic_return=[88.23442]
global_step=1588, episodic_return=[111.93543]
global_step=1611, episodic_return=[117.85502]
global_step=1652, episodic_return=[200.66002]
global_step=1678, episodic_return=[125.06823]
global_step=1707, episodic_return=[150.2224]
global_step=1728, episodic_return=[107.048386]
global_step=1746, episodic_return=[89.04442]
global_step=1774, episodic_return=[143.40572]
global_step=1808, episodic_return=[171.84113]
global_step=1828, episodic_return=[101.555695]
global_step=1861, episodic_return=[166.94826]
global_step=1895, episodic_return=[169.55385]
global_step=1921, episodic_return=[133.34578]
global_step=1947, episodic_return=[127.50506]
global_step=1972, episodic_return=[128.93086]
global_step=1995, episodic_return=[112.88037]
global_step=2013, episodic_return=[88.190674]
global_step=2033, episodic_return=[99.48911]
global_step=2060, episodic_return=[136.27884]
global_step=2091, episodic_return=[147.09985]
global_step=2123, episodic_return=[161.08263]
global_step=2147, episodic_return=[120.89989]
global_step=2176, episodic_return=[143.74716]
global_step=2195, episodic_return=[94.64828]
global_step=2239, episodic_return=[209.49527]
global_step=2264, episodic_return=[121.80769]
