True
global_step=3421, episodic_return=[196.97781]
global_step=3441, episodic_return=[100.062805]
global_step=3458, episodic_return=[83.80107]
global_step=3478, episodic_return=[99.02936]
global_step=3506, episodic_return=[140.61072]
global_step=3534, episodic_return=[145.11371]
global_step=3552, episodic_return=[89.65798]
global_step=3584, episodic_return=[162.28922]
global_step=3609, episodic_return=[120.33219]
global_step=3636, episodic_return=[136.14024]
global_step=3664, episodic_return=[146.20001]
global_step=3696, episodic_return=[163.2299]
global_step=3714, episodic_return=[88.48232]
global_step=3738, episodic_return=[118.42655]
global_step=3765, episodic_return=[129.0516]
global_step=3784, episodic_return=[94.73977]
global_step=3801, episodic_return=[83.625916]
global_step=3842, episodic_return=[202.21631]
global_step=3862, episodic_return=[102.45149]
global_step=3883, episodic_return=[107.88954]
global_step=3910, episodic_return=[136.02188]
global_step=3942, episodic_return=[167.39627]
global_step=3969, episodic_return=[131.94153]
global_step=4016, episodic_return=[243.18388]
global_step=4039, episodic_return=[119.679886]
global_step=4056, episodic_return=[83.67798]
global_step=4085, episodic_return=[145.5559]
global_step=4108, episodic_return=[118.87492]
global_step=4132, episodic_return=[120.61768]
global_step=4150, episodic_return=[88.79151]
global_step=4167, episodic_return=[83.69644]
global_step=4190, episodic_return=[116.61464]
global_step=4217, episodic_return=[129.44232]
global_step=4254, episodic_return=[194.14651]
global_step=4272, episodic_return=[88.731445]
global_step=4299, episodic_return=[125.40676]
global_step=4316, episodic_return=[83.7628]
global_step=4333, episodic_return=[83.451675]
global_step=4355, episodic_return=[111.3116]
global_step=4390, episodic_return=[169.87521]
global_step=4424, episodic_return=[172.39713]
global_step=4462, episodic_return=[188.97754]
global_step=4482, episodic_return=[98.72084]
global_step=4506, episodic_return=[120.63344]
global_step=4528, episodic_return=[110.02905]
global_step=4566, episodic_return=[193.22118]
global_step=4584, episodic_return=[89.79252]
global_step=4607, episodic_return=[114.90987]
global_step=4643, episodic_return=[187.1606]
global_step=4669, episodic_return=[130.73915]
global_step=4687, episodic_return=[88.955826]
global_step=4714, episodic_return=[138.07658]
global_step=4744, episodic_return=[155.52362]
global_step=4775, episodic_return=[161.96136]
global_step=4804, episodic_return=[151.81169]
global_step=4824, episodic_return=[101.94271]
global_step=4843, episodic_return=[94.93962]
global_step=4860, episodic_return=[83.553825]
global_step=4897, episodic_return=[186.84225]
global_step=4914, episodic_return=[83.465004]
global_step=4933, episodic_return=[96.65713]
global_step=4950, episodic_return=[83.59348]
global_step=4999, episodic_return=[244.14941]
global_step=5018, episodic_return=[95.1752]
global_step=5043, episodic_return=[129.91277]
global_step=5067, episodic_return=[121.16681]
global_step=5096, episodic_return=[138.25226]
global_step=5122, episodic_return=[131.98453]
global_step=5146, episodic_return=[124.00749]
global_step=5177, episodic_return=[161.24916]
global_step=5197, episodic_return=[101.84849]
global_step=5215, episodic_return=[88.81509]
global_step=5232, episodic_return=[83.37879]
global_step=5253, episodic_return=[103.27682]
global_step=5273, episodic_return=[99.635254]
global_step=5290, episodic_return=[83.45828]
global_step=5308, episodic_return=[88.353035]
global_step=5330, episodic_return=[109.415596]
global_step=5359, episodic_return=[147.89806]
global_step=5378, episodic_return=[95.01679]
global_step=5398, episodic_return=[101.457924]
global_step=5418, episodic_return=[99.841545]
global_step=5437, episodic_return=[94.94621]
global_step=5454, episodic_return=[83.3428]
global_step=5478, episodic_return=[124.84074]
global_step=5512, episodic_return=[169.80498]
global_step=5543, episodic_return=[159.99823]
global_step=5560, episodic_return=[83.73827]
global_step=5585, episodic_return=[127.96956]
global_step=5605, episodic_return=[100.17391]
global_step=5627, episodic_return=[110.311104]
global_step=5645, episodic_return=[89.34367]
global_step=5663, episodic_return=[90.35019]
global_step=5689, episodic_return=[132.17072]
global_step=5707, episodic_return=[88.82614]
global_step=5726, episodic_return=[94.009224]
global_step=5744, episodic_return=[88.473175]
