/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=18, episodic_return=[94.756874]
global_step=37, episodic_return=[95.215034]
global_step=57, episodic_return=[100.593254]
global_step=82, episodic_return=[127.82095]
global_step=100, episodic_return=[88.33059]
global_step=117, episodic_return=[83.591156]
global_step=137, episodic_return=[98.85963]
global_step=154, episodic_return=[83.38103]
global_step=189, episodic_return=[170.45044]
global_step=213, episodic_return=[121.24316]
global_step=235, episodic_return=[111.67104]
global_step=266, episodic_return=[163.14044]
global_step=291, episodic_return=[125.184326]
global_step=309, episodic_return=[88.25043]
global_step=326, episodic_return=[83.26978]
global_step=349, episodic_return=[118.46738]
global_step=371, episodic_return=[111.62303]
global_step=395, episodic_return=[122.50516]
global_step=416, episodic_return=[107.426956]
global_step=435, episodic_return=[94.29684]
global_step=472, episodic_return=[178.83554]
global_step=498, episodic_return=[122.20634]
global_step=521, episodic_return=[115.90055]
global_step=541, episodic_return=[101.82164]
global_step=562, episodic_return=[102.44609]
global_step=584, episodic_return=[113.61561]
global_step=607, episodic_return=[114.06524]
global_step=640, episodic_return=[170.35568]
global_step=664, episodic_return=[123.28735]
global_step=689, episodic_return=[128.67708]
global_step=708, episodic_return=[95.69151]
global_step=725, episodic_return=[83.41706]
global_step=744, episodic_return=[95.28691]
global_step=767, episodic_return=[115.90121]
global_step=785, episodic_return=[89.473854]
global_step=808, episodic_return=[115.34807]
global_step=851, episodic_return=[211.0866]
global_step=878, episodic_return=[135.48956]
global_step=904, episodic_return=[134.11093]
global_step=925, episodic_return=[105.952644]
global_step=948, episodic_return=[114.51554]
global_step=966, episodic_return=[89.001366]
global_step=1009, episodic_return=[211.80331]
global_step=1035, episodic_return=[129.83687]
global_step=1053, episodic_return=[88.76146]
global_step=1079, episodic_return=[132.14333]
global_step=1101, episodic_return=[109.43899]
global_step=1129, episodic_return=[147.43433]
global_step=1150, episodic_return=[107.1298]
global_step=1176, episodic_return=[131.50984]
global_step=1197, episodic_return=[106.98308]
global_step=1257, episodic_return=[303.82034]
global_step=1278, episodic_return=[105.843575]
global_step=1314, episodic_return=[182.4866]
global_step=1344, episodic_return=[153.6152]
global_step=1367, episodic_return=[117.446266]
global_step=1395, episodic_return=[145.2998]
global_step=1412, episodic_return=[83.634705]
global_step=1437, episodic_return=[122.13462]
global_step=1456, episodic_return=[93.81866]
global_step=1473, episodic_return=[83.14229]
global_step=1491, episodic_return=[88.662865]
global_step=1523, episodic_return=[161.65381]
global_step=1556, episodic_return=[167.37257]
global_step=1584, episodic_return=[141.78763]
global_step=1612, episodic_return=[141.65036]
global_step=1631, episodic_return=[96.16701]
global_step=1650, episodic_return=[96.370346]
global_step=1669, episodic_return=[94.87297]
global_step=1686, episodic_return=[83.61128]
global_step=1712, episodic_return=[131.22237]
global_step=1739, episodic_return=[138.4795]
global_step=1764, episodic_return=[122.97281]
global_step=1789, episodic_return=[128.4206]
global_step=1822, episodic_return=[152.312]
global_step=1846, episodic_return=[117.48736]
global_step=1868, episodic_return=[112.32875]
global_step=1889, episodic_return=[106.31737]
global_step=1914, episodic_return=[126.91649]
global_step=1936, episodic_return=[112.457886]
global_step=1957, episodic_return=[105.88876]
global_step=1975, episodic_return=[90.305305]
global_step=1996, episodic_return=[107.3127]
global_step=2014, episodic_return=[88.5804]
global_step=2032, episodic_return=[89.78201]
global_step=2052, episodic_return=[101.02935]
global_step=2072, episodic_return=[101.634926]
global_step=2101, episodic_return=[150.96916]
global_step=2124, episodic_return=[117.83465]
global_step=2146, episodic_return=[112.16927]
