True
global_step=24, episodic_return=[128.95879]
global_step=54, episodic_return=[143.82312]
global_step=72, episodic_return=[88.8266]
global_step=122, episodic_return=[251.38814]
global_step=152, episodic_return=[151.67131]
global_step=176, episodic_return=[124.766624]
global_step=193, episodic_return=[83.25572]
global_step=219, episodic_return=[131.60313]
global_step=238, episodic_return=[94.38291]
global_step=264, episodic_return=[136.3063]
global_step=281, episodic_return=[83.35763]
global_step=311, episodic_return=[147.75774]
global_step=336, episodic_return=[124.653656]
global_step=353, episodic_return=[83.62527]
global_step=372, episodic_return=[94.98011]
global_step=410, episodic_return=[190.01477]
global_step=431, episodic_return=[102.45205]
global_step=451, episodic_return=[101.225296]
global_step=470, episodic_return=[95.93168]
global_step=488, episodic_return=[88.8146]
global_step=523, episodic_return=[180.80663]
global_step=551, episodic_return=[139.71817]
global_step=573, episodic_return=[112.34477]
global_step=595, episodic_return=[110.7544]
global_step=620, episodic_return=[125.81205]
global_step=647, episodic_return=[137.57661]
global_step=673, episodic_return=[122.98084]
global_step=698, episodic_return=[128.51822]
global_step=722, episodic_return=[118.10639]
global_step=744, episodic_return=[111.644485]
global_step=775, episodic_return=[159.2153]
global_step=794, episodic_return=[95.08743]
global_step=814, episodic_return=[100.57946]
global_step=858, episodic_return=[222.62915]
global_step=883, episodic_return=[127.31244]
global_step=903, episodic_return=[102.37748]
global_step=921, episodic_return=[88.440575]
global_step=946, episodic_return=[129.62476]
global_step=965, episodic_return=[94.96343]
global_step=986, episodic_return=[106.70474]
global_step=1007, episodic_return=[107.21347]
global_step=1031, episodic_return=[124.474396]
/Tmp/slurm.4462128.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4462128.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4462128.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4462128.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1061, episodic_return=[154.10855]
global_step=1090, episodic_return=[140.06096]
