/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=3031, episodic_return=[14.649628]
global_step=3047, episodic_return=[8.348653]
global_step=3061, episodic_return=[12.65138]
global_step=3075, episodic_return=[9.172429]
global_step=3084, episodic_return=[6.2590127]
global_step=3108, episodic_return=[18.033089]
global_step=3126, episodic_return=[12.507508]
global_step=3138, episodic_return=[9.889339]
global_step=3177, episodic_return=[27.107855]
global_step=3192, episodic_return=[12.128356]
global_step=3218, episodic_return=[30.530333]
global_step=3243, episodic_return=[15.410608]
global_step=3265, episodic_return=[10.885343]
global_step=3282, episodic_return=[10.062572]
global_step=3294, episodic_return=[8.035136]
global_step=3310, episodic_return=[11.841847]
global_step=3324, episodic_return=[11.472293]
global_step=3335, episodic_return=[8.07147]
global_step=3367, episodic_return=[31.138483]
global_step=3378, episodic_return=[5.829327]
global_step=3391, episodic_return=[11.231557]
global_step=3409, episodic_return=[9.7788725]
global_step=3435, episodic_return=[18.516624]
global_step=3456, episodic_return=[10.216241]
global_step=3473, episodic_return=[11.4202585]
global_step=3498, episodic_return=[25.727434]
global_step=3513, episodic_return=[14.242172]
global_step=3562, episodic_return=[77.197586]
global_step=3577, episodic_return=[9.248467]
global_step=3593, episodic_return=[8.846753]
global_step=3617, episodic_return=[14.467021]
global_step=3640, episodic_return=[18.103144]
global_step=3696, episodic_return=[43.483387]
global_step=3708, episodic_return=[10.795227]
global_step=3728, episodic_return=[11.50269]
global_step=3751, episodic_return=[17.139751]
global_step=3768, episodic_return=[16.368994]
global_step=3794, episodic_return=[30.66086]
global_step=3814, episodic_return=[13.849338]
global_step=3835, episodic_return=[14.256446]
global_step=3855, episodic_return=[9.460815]
global_step=3866, episodic_return=[8.280351]
global_step=3878, episodic_return=[11.054171]
global_step=3895, episodic_return=[11.338265]
global_step=3910, episodic_return=[14.587487]
global_step=3932, episodic_return=[18.881134]
global_step=3943, episodic_return=[8.062095]
global_step=3952, episodic_return=[7.0717993]
global_step=3979, episodic_return=[35.007114]
global_step=3992, episodic_return=[11.151566]
global_step=4007, episodic_return=[12.907195]
global_step=4034, episodic_return=[7.5617914]
global_step=4051, episodic_return=[15.269251]
global_step=4083, episodic_return=[32.786705]
global_step=4109, episodic_return=[22.974718]
global_step=4131, episodic_return=[15.465655]
global_step=4182, episodic_return=[42.906513]
global_step=4211, episodic_return=[16.207102]
global_step=4248, episodic_return=[42.582077]
global_step=4267, episodic_return=[18.605566]
global_step=4288, episodic_return=[12.10831]
global_step=4303, episodic_return=[11.325422]
global_step=4346, episodic_return=[53.81136]
global_step=4383, episodic_return=[15.294151]
global_step=4398, episodic_return=[8.507121]
global_step=4410, episodic_return=[9.136411]
global_step=4421, episodic_return=[7.5399294]
global_step=4436, episodic_return=[11.137722]
global_step=4455, episodic_return=[13.727145]
global_step=4476, episodic_return=[23.003357]
global_step=4538, episodic_return=[56.99285]
global_step=4557, episodic_return=[12.300029]
global_step=4582, episodic_return=[27.020578]
global_step=4609, episodic_return=[19.903355]
global_step=4631, episodic_return=[17.352718]
global_step=4678, episodic_return=[24.43718]
global_step=4694, episodic_return=[13.9247675]
global_step=4708, episodic_return=[11.526614]
global_step=4737, episodic_return=[16.482525]
global_step=4764, episodic_return=[21.616503]
global_step=4780, episodic_return=[9.703898]
global_step=4795, episodic_return=[13.525708]
global_step=4805, episodic_return=[7.02306]
global_step=4833, episodic_return=[21.436186]
global_step=4845, episodic_return=[10.4490185]
global_step=4861, episodic_return=[13.892274]
global_step=4871, episodic_return=[8.253656]
global_step=4902, episodic_return=[22.45475]
global_step=4926, episodic_return=[20.47002]
global_step=4939, episodic_return=[9.283438]
global_step=4951, episodic_return=[7.368696]
global_step=4971, episodic_return=[16.617208]
global_step=4984, episodic_return=[7.5448956]
global_step=5006, episodic_return=[17.431702]
global_step=5029, episodic_return=[21.531906]
global_step=5051, episodic_return=[17.213669]
global_step=5094, episodic_return=[45.74957]
SPS: 1577
global_step=5105, episodic_return=[9.02415]
global_step=5120, episodic_return=[10.726152]
global_step=5147, episodic_return=[35.179775]
global_step=5164, episodic_return=[18.146742]
global_step=5179, episodic_return=[13.938326]
global_step=5198, episodic_return=[7.020417]
SPS: 1190
global_step=5216, episodic_return=[15.524228]
global_step=5298, episodic_return=[91.70039]
SPS: 969
global_step=5313, episodic_return=[14.757787]
global_step=5335, episodic_return=[24.28074]
global_step=5388, episodic_return=[81.02946]
SPS: 821
global_step=5440, episodic_return=[39.585167]
global_step=5455, episodic_return=[14.377725]
SPS: 717
global_step=5506, episodic_return=[42.34185]
global_step=5585, episodic_return=[81.04692]
SPS: 638
global_step=5657, episodic_return=[106.267075]
SPS: 558
global_step=5716, episodic_return=[67.06147]
global_step=5762, episodic_return=[80.23879]
SPS: 512
global_step=5801, episodic_return=[62.977398]
global_step=5831, episodic_return=[49.379528]
global_step=5869, episodic_return=[63.040623]
SPS: 475
global_step=5922, episodic_return=[81.44038]
global_step=5955, episodic_return=[54.263783]
SPS: 443
global_step=6006, episodic_return=[80.918976]
global_step=6041, episodic_return=[57.265038]
global_step=6083, episodic_return=[68.68972]
SPS: 416
global_step=6129, episodic_return=[77.421135]
global_step=6180, episodic_return=[81.8887]
SPS: 394
global_step=6240, episodic_return=[111.59079]
global_step=6278, episodic_return=[65.12205]
SPS: 373
global_step=6400, episodic_return=[239.4759]
SPS: 355
global_step=6440, episodic_return=[68.72018]
SPS: 339
global_step=6529, episodic_return=[197.89766]
SPS: 325
global_step=6619, episodic_return=[200.20639]
SPS: 312
global_step=6709, episodic_return=[199.45769]
global_step=6794, episodic_return=[188.03125]
SPS: 300
global_step=6886, episodic_return=[184.13148]
SPS: 290
global_step=6973, episodic_return=[192.25768]
SPS: 281
global_step=7060, episodic_return=[192.62183]
SPS: 272
global_step=7147, episodic_return=[194.88828]
SPS: 264
global_step=7252, episodic_return=[213.81236]
SPS: 257
global_step=7337, episodic_return=[179.90222]
SPS: 248
global_step=7436, episodic_return=[193.03606]
SPS: 242
global_step=7523, episodic_return=[177.24693]
SPS: 237
global_step=7608, episodic_return=[187.34402]
global_step=7694, episodic_return=[175.6291]
SPS: 232
global_step=7781, episodic_return=[177.13843]
SPS: 227
global_step=7867, episodic_return=[175.71736]
SPS: 223
global_step=7952, episodic_return=[173.43013]
SPS: 219
global_step=8037, episodic_return=[177.42699]
SPS: 215
global_step=8124, episodic_return=[184.09306]
SPS: 212
global_step=8209, episodic_return=[177.67061]
global_step=8294, episodic_return=[187.24086]
SPS: 208
global_step=8379, episodic_return=[176.10762]
SPS: 205
global_step=8463, episodic_return=[184.22842]
SPS: 202
global_step=8551, episodic_return=[198.46652]
SPS: 199
global_step=8636, episodic_return=[184.67026]
SPS: 196
global_step=8722, episodic_return=[191.90158]
SPS: 194
global_step=8808, episodic_return=[190.3078]
global_step=8893, episodic_return=[183.65985]
SPS: 191
global_step=8979, episodic_return=[185.78044]
SPS: 189
global_step=9064, episodic_return=[187.34314]
SPS: 187
global_step=9149, episodic_return=[183.97008]
SPS: 185
global_step=9234, episodic_return=[189.18634]
SPS: 183
global_step=9320, episodic_return=[187.34915]
SPS: 181
global_step=9412, episodic_return=[207.05942]
global_step=9500, episodic_return=[197.03499]
SPS: 179
global_step=9590, episodic_return=[203.87854]
SPS: 177
global_step=9679, episodic_return=[195.8955]
SPS: 175
global_step=9769, episodic_return=[204.51831]
SPS: 174
global_step=9857, episodic_return=[196.33072]
SPS: 172
global_step=9945, episodic_return=[182.91502]
SPS: 170
global_step=10032, episodic_return=[191.0794]
SPS: 168
