True
global_step=34, episodic_return=[35.77169]
global_step=49, episodic_return=[10.867763]
global_step=68, episodic_return=[20.951025]
global_step=94, episodic_return=[14.529895]
global_step=142, episodic_return=[56.67688]
global_step=161, episodic_return=[17.392653]
global_step=182, episodic_return=[16.440517]
global_step=196, episodic_return=[9.431565]
global_step=239, episodic_return=[60.558743]
global_step=252, episodic_return=[4.3339243]
global_step=261, episodic_return=[7.3920593]
global_step=273, episodic_return=[7.838778]
global_step=325, episodic_return=[57.15288]
global_step=337, episodic_return=[10.493022]
global_step=370, episodic_return=[32.958138]
global_step=392, episodic_return=[14.669198]
global_step=414, episodic_return=[14.797268]
global_step=434, episodic_return=[14.618175]
global_step=465, episodic_return=[16.302893]
global_step=514, episodic_return=[50.624527]
global_step=542, episodic_return=[33.30389]
global_step=555, episodic_return=[12.698645]
global_step=589, episodic_return=[42.64956]
global_step=606, episodic_return=[12.83906]
global_step=639, episodic_return=[26.775284]
global_step=667, episodic_return=[19.626453]
global_step=675, episodic_return=[5.7358403]
global_step=688, episodic_return=[9.773079]
global_step=705, episodic_return=[7.9199286]
global_step=731, episodic_return=[16.310328]
global_step=766, episodic_return=[19.726168]
global_step=785, episodic_return=[9.816796]
global_step=817, episodic_return=[11.878661]
global_step=844, episodic_return=[21.364231]
global_step=857, episodic_return=[10.22963]
global_step=913, episodic_return=[85.30389]
global_step=937, episodic_return=[17.311169]
global_step=956, episodic_return=[17.170052]
global_step=965, episodic_return=[5.306716]
global_step=984, episodic_return=[15.361222]
global_step=1014, episodic_return=[11.701893]
global_step=1034, episodic_return=[18.39914]
global_step=1052, episodic_return=[10.664554]
global_step=1066, episodic_return=[11.275638]
global_step=1081, episodic_return=[8.918017]
global_step=1103, episodic_return=[10.320415]
global_step=1122, episodic_return=[9.149348]
global_step=1140, episodic_return=[16.53173]
global_step=1206, episodic_return=[56.128586]
global_step=1228, episodic_return=[11.260247]
/Tmp/slurm.4401619.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4401619.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4401619.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4401619.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1264, episodic_return=[26.930656]
global_step=1277, episodic_return=[9.5547495]
global_step=1293, episodic_return=[12.034233]
global_step=1322, episodic_return=[27.644352]
global_step=1335, episodic_return=[5.804044]
global_step=1394, episodic_return=[54.077045]
global_step=1411, episodic_return=[8.406196]
global_step=1446, episodic_return=[17.817005]
global_step=1465, episodic_return=[18.8672]
global_step=1478, episodic_return=[8.458918]
global_step=1489, episodic_return=[8.846431]
global_step=1510, episodic_return=[19.967083]
global_step=1527, episodic_return=[7.180438]
global_step=1544, episodic_return=[18.30837]
global_step=1553, episodic_return=[7.075794]
global_step=1570, episodic_return=[9.340437]
global_step=1586, episodic_return=[9.633934]
global_step=1600, episodic_return=[8.597979]
global_step=1616, episodic_return=[15.10578]
global_step=1639, episodic_return=[10.196575]
global_step=1659, episodic_return=[17.142925]
global_step=1670, episodic_return=[7.5461316]
global_step=1687, episodic_return=[12.425252]
global_step=1711, episodic_return=[18.923561]
global_step=1736, episodic_return=[10.962312]
global_step=1745, episodic_return=[6.7644043]
global_step=1774, episodic_return=[29.899282]
global_step=1828, episodic_return=[57.146435]
global_step=1841, episodic_return=[9.231081]
global_step=1855, episodic_return=[12.170685]
global_step=1876, episodic_return=[23.613043]
global_step=1888, episodic_return=[8.923782]
global_step=1944, episodic_return=[65.21588]
global_step=1958, episodic_return=[12.24698]
global_step=1974, episodic_return=[12.246714]
global_step=1992, episodic_return=[11.324136]
global_step=2022, episodic_return=[34.936016]
global_step=2030, episodic_return=[6.094727]
global_step=2044, episodic_return=[9.111925]
global_step=2060, episodic_return=[12.30835]
global_step=2075, episodic_return=[10.091247]
global_step=2096, episodic_return=[13.091726]
global_step=2143, episodic_return=[56.338306]
global_step=2171, episodic_return=[33.474304]
global_step=2198, episodic_return=[11.755027]
global_step=2207, episodic_return=[5.4754505]
global_step=2228, episodic_return=[20.192053]
global_step=2242, episodic_return=[8.832448]
global_step=2258, episodic_return=[8.395023]
global_step=2291, episodic_return=[28.816273]
global_step=2302, episodic_return=[8.607059]
global_step=2335, episodic_return=[42.125393]
global_step=2353, episodic_return=[8.632546]
global_step=2373, episodic_return=[18.935373]
global_step=2394, episodic_return=[18.757399]
global_step=2432, episodic_return=[16.475803]
global_step=2449, episodic_return=[13.178283]
global_step=2467, episodic_return=[12.971873]
global_step=2482, episodic_return=[12.207314]
global_step=2518, episodic_return=[32.698643]
global_step=2579, episodic_return=[68.61311]
global_step=2614, episodic_return=[17.336794]
global_step=2627, episodic_return=[8.78402]
global_step=2639, episodic_return=[10.392637]
global_step=2652, episodic_return=[9.870248]
global_step=2696, episodic_return=[34.93562]
global_step=2727, episodic_return=[19.097878]
global_step=2761, episodic_return=[25.67491]
global_step=2775, episodic_return=[10.751934]
global_step=2799, episodic_return=[16.912191]
global_step=2818, episodic_return=[22.701923]
global_step=2834, episodic_return=[14.938623]
global_step=2851, episodic_return=[16.977663]
global_step=2874, episodic_return=[10.182074]
global_step=2886, episodic_return=[9.300394]
global_step=2898, episodic_return=[11.237274]
global_step=2910, episodic_return=[6.2727776]
global_step=2935, episodic_return=[28.267174]
global_step=2955, episodic_return=[23.149874]
global_step=2968, episodic_return=[11.034589]
global_step=2983, episodic_return=[12.875705]
global_step=2994, episodic_return=[9.469446]
global_step=3005, episodic_return=[9.663543]
global_step=3032, episodic_return=[13.804166]
global_step=3060, episodic_return=[30.595688]
global_step=3126, episodic_return=[76.50396]
