True
global_step=3119, episodic_return=[14.329397]
global_step=3161, episodic_return=[60.47419]
global_step=3178, episodic_return=[11.465493]
global_step=3189, episodic_return=[9.587604]
global_step=3203, episodic_return=[10.410735]
global_step=3226, episodic_return=[6.8791065]
global_step=3238, episodic_return=[9.674391]
global_step=3252, episodic_return=[10.249618]
global_step=3291, episodic_return=[41.748886]
global_step=3325, episodic_return=[24.869333]
global_step=3351, episodic_return=[12.345318]
global_step=3379, episodic_return=[17.832968]
global_step=3409, episodic_return=[17.42926]
global_step=3425, episodic_return=[7.8007517]
global_step=3444, episodic_return=[16.404757]
global_step=3461, episodic_return=[17.13591]
global_step=3470, episodic_return=[6.0636806]
global_step=3486, episodic_return=[12.999495]
global_step=3501, episodic_return=[10.727696]
global_step=3514, episodic_return=[7.58934]
global_step=3525, episodic_return=[7.734023]
global_step=3544, episodic_return=[12.71572]
global_step=3555, episodic_return=[8.922305]
global_step=3578, episodic_return=[25.253757]
global_step=3613, episodic_return=[53.04546]
global_step=3643, episodic_return=[27.03101]
global_step=3710, episodic_return=[82.481995]
global_step=3725, episodic_return=[14.337809]
global_step=3744, episodic_return=[10.560661]
global_step=3763, episodic_return=[16.135101]
global_step=3773, episodic_return=[7.8829365]
global_step=3794, episodic_return=[12.488505]
global_step=3835, episodic_return=[26.80788]
global_step=3848, episodic_return=[11.567182]
global_step=3878, episodic_return=[11.35572]
global_step=3935, episodic_return=[56.185658]
global_step=3953, episodic_return=[17.63453]
global_step=3969, episodic_return=[10.2098255]
global_step=3998, episodic_return=[10.747134]
global_step=4007, episodic_return=[6.043525]
global_step=4024, episodic_return=[9.478766]
global_step=4038, episodic_return=[8.420333]
global_step=4052, episodic_return=[9.764105]
global_step=4099, episodic_return=[58.49672]
global_step=4114, episodic_return=[9.446922]
global_step=4138, episodic_return=[18.217426]
global_step=4187, episodic_return=[47.690002]
global_step=4212, episodic_return=[16.101696]
global_step=4229, episodic_return=[11.824954]
global_step=4239, episodic_return=[7.0954456]
global_step=4256, episodic_return=[11.059714]
global_step=4275, episodic_return=[9.412415]
global_step=4301, episodic_return=[20.646511]
global_step=4315, episodic_return=[8.514979]
global_step=4330, episodic_return=[10.6965685]
global_step=4342, episodic_return=[10.671342]
global_step=4365, episodic_return=[23.32413]
global_step=4401, episodic_return=[37.332367]
global_step=4446, episodic_return=[44.99137]
global_step=4466, episodic_return=[11.686563]
global_step=4477, episodic_return=[8.111213]
global_step=4492, episodic_return=[11.756877]
global_step=4509, episodic_return=[16.742188]
global_step=4562, episodic_return=[42.89606]
global_step=4586, episodic_return=[15.544474]
global_step=4634, episodic_return=[51.249367]
global_step=4655, episodic_return=[11.439243]
global_step=4675, episodic_return=[13.283038]
global_step=4689, episodic_return=[13.251979]
global_step=4702, episodic_return=[10.92713]
global_step=4718, episodic_return=[11.051012]
global_step=4755, episodic_return=[31.073423]
global_step=4770, episodic_return=[11.834491]
global_step=4787, episodic_return=[7.755162]
global_step=4804, episodic_return=[16.642452]
global_step=4814, episodic_return=[6.5568438]
global_step=4831, episodic_return=[16.967562]
global_step=4841, episodic_return=[7.637966]
global_step=4876, episodic_return=[48.466984]
global_step=4900, episodic_return=[22.807392]
global_step=4912, episodic_return=[9.091316]
global_step=4935, episodic_return=[10.245776]
global_step=4971, episodic_return=[23.33693]
global_step=4985, episodic_return=[8.415024]
global_step=5036, episodic_return=[46.432682]
global_step=5053, episodic_return=[5.529553]
global_step=5063, episodic_return=[5.7765536]
wandb: WARNING Step cannot be set when using syncing with tensorboard. Please log your step values as a metric such as 'global_step'
global_step=5086, episodic_return=[9.698488]
global_step=5101, episodic_return=[10.190664]
global_step=5136, episodic_return=[45.958817]
global_step=5144, episodic_return=[4.5222983]
global_step=5154, episodic_return=[6.789067]
global_step=5169, episodic_return=[12.5321]
global_step=5195, episodic_return=[28.09265]
global_step=5211, episodic_return=[14.859854]
global_step=5223, episodic_return=[8.165476]
global_step=5247, episodic_return=[10.764978]
global_step=5298, episodic_return=[89.43749]
global_step=5315, episodic_return=[15.29824]
global_step=5343, episodic_return=[45.32306]
global_step=5364, episodic_return=[13.596704]
global_step=5379, episodic_return=[13.555367]
global_step=5397, episodic_return=[18.93085]
global_step=5421, episodic_return=[27.125868]
global_step=5436, episodic_return=[11.117191]
global_step=5493, episodic_return=[100.8534]
global_step=5545, episodic_return=[91.78519]
global_step=5572, episodic_return=[3.773187]
global_step=5590, episodic_return=[16.945114]
global_step=5702, episodic_return=[228.23709]
global_step=5789, episodic_return=[168.59576]
global_step=5839, episodic_return=[93.08991]
global_step=5880, episodic_return=[72.63422]
global_step=5947, episodic_return=[113.29949]
global_step=6070, episodic_return=[248.98082]
global_step=6171, episodic_return=[217.58273]
global_step=6256, episodic_return=[187.4537]
global_step=6340, episodic_return=[181.26195]
global_step=6441, episodic_return=[204.76799]
global_step=6530, episodic_return=[196.53067]
global_step=6625, episodic_return=[216.19774]
global_step=6713, episodic_return=[198.25635]
global_step=6803, episodic_return=[191.16057]
global_step=6886, episodic_return=[180.49034]
global_step=6979, episodic_return=[208.8233]
global_step=7067, episodic_return=[193.82076]
global_step=7160, episodic_return=[212.58736]
global_step=7254, episodic_return=[200.17383]
global_step=7339, episodic_return=[190.80278]
global_step=7426, episodic_return=[185.84293]
global_step=7540, episodic_return=[221.17593]
global_step=7632, episodic_return=[206.61906]
global_step=7724, episodic_return=[207.30121]
global_step=7814, episodic_return=[199.9496]
global_step=7906, episodic_return=[208.60797]
global_step=7996, episodic_return=[203.00497]
global_step=8102, episodic_return=[228.01382]
global_step=8186, episodic_return=[187.01942]
global_step=8354, episodic_return=[329.7719]
global_step=8441, episodic_return=[193.44106]
global_step=8531, episodic_return=[202.04166]
global_step=8626, episodic_return=[220.4048]
global_step=8720, episodic_return=[217.04001]
global_step=8816, episodic_return=[217.33249]
global_step=8986, episodic_return=[421.58493]
global_step=9076, episodic_return=[205.87428]
global_step=9178, episodic_return=[220.377]
global_step=9282, episodic_return=[248.52574]
global_step=9377, episodic_return=[202.62532]
global_step=9503, episodic_return=[253.3641]
global_step=9623, episodic_return=[286.6047]
global_step=9747, episodic_return=[248.81058]
global_step=9788, episodic_return=[53.020473]
global_step=9930, episodic_return=[315.7659]
global_step=9979, episodic_return=[65.22427]
global_step=10179, episodic_return=[361.73422]
global_step=10527, episodic_return=[559.8206]
global_step=10735, episodic_return=[399.15393]
global_step=10866, episodic_return=[280.31897]
global_step=11085, episodic_return=[400.2492]
global_step=11231, episodic_return=[304.26233]
global_step=11359, episodic_return=[263.54913]
global_step=11609, episodic_return=[483.25113]
global_step=11854, episodic_return=[453.62732]
global_step=11985, episodic_return=[277.58197]
global_step=12133, episodic_return=[319.01117]
global_step=12309, episodic_return=[366.27496]
global_step=12455, episodic_return=[314.19565]
global_step=12598, episodic_return=[340.75504]
