/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=34, episodic_return=[36.30363]
global_step=48, episodic_return=[10.158608]
global_step=68, episodic_return=[19.471954]
global_step=94, episodic_return=[14.512208]
global_step=142, episodic_return=[57.061295]
global_step=160, episodic_return=[16.388103]
global_step=184, episodic_return=[18.793161]
global_step=199, episodic_return=[13.097956]
global_step=230, episodic_return=[36.87833]
global_step=248, episodic_return=[14.722528]
global_step=259, episodic_return=[8.038558]
global_step=273, episodic_return=[8.971338]
global_step=317, episodic_return=[48.809143]
global_step=336, episodic_return=[15.911408]
global_step=368, episodic_return=[35.411476]
global_step=391, episodic_return=[14.198261]
global_step=414, episodic_return=[13.923475]
global_step=433, episodic_return=[14.332002]
global_step=469, episodic_return=[25.713911]
global_step=486, episodic_return=[15.747913]
global_step=512, episodic_return=[11.684793]
global_step=534, episodic_return=[20.502121]
global_step=552, episodic_return=[12.058817]
global_step=586, episodic_return=[45.17439]
global_step=597, episodic_return=[7.8190145]
global_step=617, episodic_return=[19.452826]
global_step=637, episodic_return=[17.500443]
global_step=663, episodic_return=[21.282997]
global_step=674, episodic_return=[8.850588]
global_step=688, episodic_return=[9.574237]
global_step=705, episodic_return=[7.0971074]
global_step=718, episodic_return=[9.34496]
global_step=741, episodic_return=[16.110548]
global_step=773, episodic_return=[17.209051]
global_step=789, episodic_return=[9.949319]
global_step=811, episodic_return=[6.2751875]
global_step=839, episodic_return=[20.62997]
global_step=857, episodic_return=[15.120311]
global_step=873, episodic_return=[12.368155]
global_step=911, episodic_return=[40.941414]
global_step=938, episodic_return=[24.999107]
global_step=956, episodic_return=[17.899385]
global_step=965, episodic_return=[5.1878214]
global_step=983, episodic_return=[14.992441]
global_step=1014, episodic_return=[12.259169]
global_step=1034, episodic_return=[18.526455]
global_step=1053, episodic_return=[11.405178]
global_step=1072, episodic_return=[13.806377]
global_step=1094, episodic_return=[13.461638]
global_step=1118, episodic_return=[9.94199]
global_step=1139, episodic_return=[17.354168]
global_step=1207, episodic_return=[62.102688]
global_step=1225, episodic_return=[9.307747]
global_step=1236, episodic_return=[7.3674335]
global_step=1262, episodic_return=[32.56074]
global_step=1273, episodic_return=[7.5245175]
global_step=1292, episodic_return=[15.271757]
global_step=1318, episodic_return=[28.27862]
global_step=1329, episodic_return=[5.320332]
global_step=1341, episodic_return=[6.558565]
global_step=1397, episodic_return=[62.781433]
global_step=1411, episodic_return=[7.5879107]
global_step=1446, episodic_return=[18.063166]
global_step=1464, episodic_return=[17.689466]
global_step=1477, episodic_return=[9.239947]
global_step=1489, episodic_return=[10.045623]
global_step=1507, episodic_return=[17.151077]
global_step=1527, episodic_return=[9.655324]
global_step=1545, episodic_return=[19.679173]
global_step=1555, episodic_return=[7.841462]
global_step=1571, episodic_return=[8.202537]
global_step=1584, episodic_return=[8.872667]
global_step=1601, episodic_return=[13.700077]
global_step=1616, episodic_return=[13.623242]
global_step=1640, episodic_return=[10.488219]
global_step=1658, episodic_return=[16.751808]
global_step=1672, episodic_return=[10.756552]
global_step=1686, episodic_return=[10.119732]
global_step=1709, episodic_return=[13.19197]
global_step=1730, episodic_return=[9.703485]
global_step=1740, episodic_return=[7.7122364]
global_step=1750, episodic_return=[7.1097264]
global_step=1776, episodic_return=[30.408201]
global_step=1813, episodic_return=[28.955002]
global_step=1830, episodic_return=[7.5233774]
global_step=1846, episodic_return=[9.038928]
global_step=1858, episodic_return=[10.79766]
global_step=1879, episodic_return=[22.783718]
global_step=1892, episodic_return=[10.473512]
global_step=1928, episodic_return=[21.165216]
