True
global_step=33, episodic_return=[23.66167]
global_step=59, episodic_return=[27.041792]
global_step=76, episodic_return=[13.478852]
global_step=117, episodic_return=[17.987223]
global_step=137, episodic_return=[21.24879]
global_step=170, episodic_return=[17.760965]
global_step=209, episodic_return=[56.84363]
global_step=227, episodic_return=[12.901666]
global_step=289, episodic_return=[89.18078]
global_step=305, episodic_return=[9.615564]
global_step=322, episodic_return=[16.488144]
global_step=339, episodic_return=[13.513272]
global_step=357, episodic_return=[15.561409]
global_step=401, episodic_return=[34.044548]
global_step=425, episodic_return=[21.295025]
global_step=442, episodic_return=[9.455887]
global_step=478, episodic_return=[9.137582]
global_step=493, episodic_return=[11.593021]
global_step=513, episodic_return=[19.027075]
global_step=530, episodic_return=[13.258708]
global_step=544, episodic_return=[9.328339]
global_step=566, episodic_return=[16.596617]
global_step=591, episodic_return=[20.607313]
global_step=633, episodic_return=[40.4243]
global_step=648, episodic_return=[12.521802]
global_step=668, episodic_return=[12.144351]
global_step=682, episodic_return=[12.791598]
global_step=694, episodic_return=[9.696293]
global_step=709, episodic_return=[13.995884]
global_step=730, episodic_return=[11.1533375]
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=816, episodic_return=[159.44562]
global_step=832, episodic_return=[12.714613]
global_step=865, episodic_return=[12.165213]
global_step=878, episodic_return=[11.3065815]
global_step=908, episodic_return=[29.052767]
global_step=929, episodic_return=[16.070753]
global_step=942, episodic_return=[10.7825]
global_step=976, episodic_return=[14.456071]
global_step=995, episodic_return=[18.81005]
global_step=1012, episodic_return=[16.519012]
global_step=1030, episodic_return=[11.900604]
global_step=1051, episodic_return=[23.674322]
global_step=1062, episodic_return=[8.039121]
global_step=1079, episodic_return=[11.975158]
global_step=1092, episodic_return=[10.601513]
global_step=1104, episodic_return=[9.366862]
global_step=1127, episodic_return=[12.641047]
global_step=1145, episodic_return=[15.5813675]
global_step=1171, episodic_return=[17.306519]
global_step=1192, episodic_return=[9.25594]
global_step=1238, episodic_return=[53.858677]
global_step=1250, episodic_return=[10.226517]
global_step=1276, episodic_return=[16.677132]
global_step=1298, episodic_return=[14.847469]
global_step=1361, episodic_return=[61.42225]
global_step=1381, episodic_return=[12.793059]
global_step=1400, episodic_return=[17.783527]
global_step=1434, episodic_return=[24.00888]
global_step=1451, episodic_return=[13.401563]
global_step=1465, episodic_return=[8.71312]
global_step=1483, episodic_return=[13.616763]
global_step=1516, episodic_return=[44.991467]
global_step=1535, episodic_return=[10.818073]
global_step=1562, episodic_return=[13.777186]
global_step=1584, episodic_return=[22.038774]
global_step=1622, episodic_return=[33.993977]
global_step=1638, episodic_return=[14.686689]
global_step=1654, episodic_return=[11.942783]
global_step=1672, episodic_return=[15.423371]
global_step=1693, episodic_return=[20.333757]
global_step=1710, episodic_return=[12.870378]
global_step=1730, episodic_return=[18.091375]
global_step=1747, episodic_return=[10.980255]
global_step=1766, episodic_return=[12.193128]
global_step=1787, episodic_return=[15.650802]
global_step=1803, episodic_return=[14.869828]
global_step=1846, episodic_return=[37.398365]
global_step=1906, episodic_return=[47.52065]
global_step=1945, episodic_return=[35.536255]
global_step=1959, episodic_return=[9.799193]
global_step=1971, episodic_return=[8.294757]
global_step=1989, episodic_return=[9.299327]
global_step=2001, episodic_return=[8.971872]
global_step=2014, episodic_return=[8.982714]
global_step=2032, episodic_return=[10.978453]
global_step=2068, episodic_return=[29.364777]
global_step=2101, episodic_return=[28.997066]
global_step=2111, episodic_return=[6.9452567]
global_step=2154, episodic_return=[36.809994]
global_step=2169, episodic_return=[11.550398]
global_step=2182, episodic_return=[9.419084]
global_step=2219, episodic_return=[24.599295]
global_step=2239, episodic_return=[18.001482]
global_step=2267, episodic_return=[30.328175]
global_step=2283, episodic_return=[9.778753]
global_step=2305, episodic_return=[18.268631]
global_step=2324, episodic_return=[16.650692]
global_step=2341, episodic_return=[13.8136635]
global_step=2364, episodic_return=[15.797032]
global_step=2379, episodic_return=[13.165427]
global_step=2400, episodic_return=[15.2699795]
global_step=2414, episodic_return=[11.558959]
global_step=2449, episodic_return=[38.690666]
global_step=2491, episodic_return=[22.56521]
global_step=2501, episodic_return=[7.5194297]
global_step=2528, episodic_return=[12.75134]
global_step=2546, episodic_return=[14.880324]
global_step=2557, episodic_return=[9.436306]
global_step=2568, episodic_return=[6.525223]
global_step=2581, episodic_return=[8.064829]
global_step=2609, episodic_return=[24.22394]
global_step=2623, episodic_return=[7.8008857]
global_step=2634, episodic_return=[7.204458]
global_step=2649, episodic_return=[10.310085]
global_step=2674, episodic_return=[13.061035]
global_step=2692, episodic_return=[16.887527]
global_step=2718, episodic_return=[21.8006]
global_step=2734, episodic_return=[11.095106]
global_step=2746, episodic_return=[8.693804]
global_step=2774, episodic_return=[24.109785]
global_step=2824, episodic_return=[77.61593]
global_step=2864, episodic_return=[55.49248]
global_step=2879, episodic_return=[13.184881]
global_step=2897, episodic_return=[13.806661]
global_step=2934, episodic_return=[21.766596]
global_step=2968, episodic_return=[30.407516]
global_step=2982, episodic_return=[11.519526]
global_step=3001, episodic_return=[12.231713]
global_step=3031, episodic_return=[14.468131]
global_step=3047, episodic_return=[8.666466]
global_step=3062, episodic_return=[13.515706]
global_step=3077, episodic_return=[10.933734]
global_step=3088, episodic_return=[7.337362]
global_step=3106, episodic_return=[16.706877]
global_step=3128, episodic_return=[11.87324]
global_step=3174, episodic_return=[28.635487]
global_step=3201, episodic_return=[28.79341]
global_step=3265, episodic_return=[41.891827]
global_step=3281, episodic_return=[9.834858]
global_step=3292, episodic_return=[7.72969]
global_step=3310, episodic_return=[13.398106]
global_step=3325, episodic_return=[12.070408]
global_step=3335, episodic_return=[7.1161146]
global_step=3367, episodic_return=[30.858671]
global_step=3378, episodic_return=[6.294625]
global_step=3392, episodic_return=[12.276361]
global_step=3413, episodic_return=[14.194117]
global_step=3437, episodic_return=[17.786512]
global_step=3456, episodic_return=[10.466854]
global_step=3473, episodic_return=[11.551718]
global_step=3499, episodic_return=[26.97587]
global_step=3513, episodic_return=[13.776602]
global_step=3564, episodic_return=[79.05743]
global_step=3578, episodic_return=[8.680922]
global_step=3590, episodic_return=[8.661053]
global_step=3615, episodic_return=[12.3338175]
global_step=3640, episodic_return=[20.63896]
global_step=3698, episodic_return=[46.856747]
global_step=3709, episodic_return=[10.034376]
global_step=3729, episodic_return=[12.342678]
global_step=3752, episodic_return=[19.54021]
global_step=3769, episodic_return=[15.821046]
global_step=3798, episodic_return=[33.945908]
global_step=3827, episodic_return=[19.020348]
global_step=3853, episodic_return=[10.241718]
global_step=3866, episodic_return=[10.281198]
global_step=3877, episodic_return=[9.240255]
global_step=3933, episodic_return=[62.986607]
global_step=3944, episodic_return=[8.231152]
global_step=3955, episodic_return=[9.101067]
global_step=3982, episodic_return=[25.33975]
global_step=3995, episodic_return=[9.718451]
global_step=4014, episodic_return=[14.990352]
global_step=4041, episodic_return=[8.550117]
global_step=4067, episodic_return=[19.415213]
global_step=4085, episodic_return=[18.984734]
global_step=4103, episodic_return=[15.431674]
global_step=4117, episodic_return=[10.990245]
global_step=4141, episodic_return=[20.694494]
global_step=4178, episodic_return=[25.839157]
global_step=4212, episodic_return=[18.362055]
global_step=4246, episodic_return=[39.795506]
global_step=4258, episodic_return=[9.2373705]
global_step=4287, episodic_return=[10.470049]
global_step=4303, episodic_return=[11.850556]
global_step=4346, episodic_return=[53.708942]
global_step=4388, episodic_return=[16.061728]
global_step=4406, episodic_return=[9.31911]
global_step=4417, episodic_return=[8.865034]
global_step=4428, episodic_return=[8.335947]
global_step=4456, episodic_return=[30.147245]
global_step=4478, episodic_return=[21.492996]
global_step=4517, episodic_return=[27.32065]
global_step=4537, episodic_return=[14.927128]
global_step=4559, episodic_return=[16.10244]
global_step=4582, episodic_return=[25.17118]
global_step=4610, episodic_return=[20.73391]
global_step=4631, episodic_return=[17.852375]
global_step=4679, episodic_return=[26.00294]
global_step=4699, episodic_return=[20.055792]
global_step=4714, episodic_return=[14.138349]
global_step=4742, episodic_return=[15.451103]
global_step=4771, episodic_return=[9.468168]
global_step=4797, episodic_return=[22.721296]
global_step=4812, episodic_return=[10.066762]
global_step=4833, episodic_return=[17.319271]
global_step=4846, episodic_return=[11.880647]
global_step=4860, episodic_return=[12.705973]
global_step=4872, episodic_return=[10.052824]
global_step=4900, episodic_return=[16.289476]
global_step=4912, episodic_return=[10.832878]
global_step=4929, episodic_return=[17.249939]
global_step=4947, episodic_return=[8.646104]
global_step=4969, episodic_return=[21.35339]
global_step=4983, episodic_return=[7.637984]
global_step=5004, episodic_return=[18.675585]
global_step=5016, episodic_return=[8.122872]
global_step=5032, episodic_return=[11.590558]
wandb: WARNING Step cannot be set when using syncing with tensorboard. Please log your step values as a metric such as 'global_step'
global_step=5054, episodic_return=[17.334045]
global_step=5067, episodic_return=[11.028904]
global_step=5144, episodic_return=[134.76624]
global_step=5170, episodic_return=[10.885843]
global_step=5245, episodic_return=[132.88368]
global_step=5298, episodic_return=[86.31839]
global_step=5335, episodic_return=[37.7261]
global_step=5363, episodic_return=[30.585934]
global_step=5378, episodic_return=[8.308785]
global_step=5398, episodic_return=[13.632737]
global_step=5416, episodic_return=[9.930376]
global_step=5482, episodic_return=[94.141685]
global_step=5509, episodic_return=[4.0435266]
global_step=5595, episodic_return=[110.66599]
global_step=5650, episodic_return=[99.1567]
global_step=5719, episodic_return=[126.43446]
global_step=5818, episodic_return=[217.123]
global_step=5908, episodic_return=[161.2376]
global_step=6053, episodic_return=[253.28348]
global_step=6146, episodic_return=[214.01555]
global_step=6254, episodic_return=[228.08716]
global_step=6335, episodic_return=[149.44255]
global_step=6400, episodic_return=[103.78314]
global_step=6507, episodic_return=[233.20847]
global_step=6596, episodic_return=[151.93147]
global_step=6677, episodic_return=[140.43546]
global_step=6752, episodic_return=[137.89032]
global_step=6805, episodic_return=[89.92017]
global_step=6889, episodic_return=[170.00075]
global_step=6956, episodic_return=[115.95189]
global_step=7025, episodic_return=[131.44041]
global_step=7103, episodic_return=[147.06538]
global_step=7197, episodic_return=[193.98857]
global_step=7283, episodic_return=[190.36191]
global_step=7372, episodic_return=[195.13748]
global_step=7463, episodic_return=[181.9771]
global_step=7548, episodic_return=[186.49524]
global_step=7633, episodic_return=[183.31548]
global_step=7729, episodic_return=[189.40196]
global_step=7814, episodic_return=[186.73491]
global_step=7960, episodic_return=[265.30856]
global_step=8056, episodic_return=[196.94078]
global_step=8140, episodic_return=[179.30632]
global_step=8226, episodic_return=[187.29088]
global_step=8310, episodic_return=[179.85954]
global_step=8415, episodic_return=[203.1274]
global_step=8500, episodic_return=[182.69368]
global_step=8588, episodic_return=[195.93253]
global_step=8720, episodic_return=[276.5703]
global_step=8811, episodic_return=[195.93901]
global_step=8896, episodic_return=[180.76825]
global_step=8991, episodic_return=[199.735]
global_step=9079, episodic_return=[196.10132]
global_step=9164, episodic_return=[187.55104]
global_step=9249, episodic_return=[188.0292]
global_step=9350, episodic_return=[200.25635]
global_step=9448, episodic_return=[203.19649]
global_step=9553, episodic_return=[222.07133]
global_step=9660, episodic_return=[212.21446]
global_step=9752, episodic_return=[194.89427]
global_step=9842, episodic_return=[194.38129]
global_step=9929, episodic_return=[195.42844]
global_step=10043, episodic_return=[217.5684]
global_step=10130, episodic_return=[193.35252]
global_step=10219, episodic_return=[185.71675]
global_step=10333, episodic_return=[218.53812]
global_step=10435, episodic_return=[215.0403]
global_step=10524, episodic_return=[187.35736]
global_step=10629, episodic_return=[206.2905]
global_step=10729, episodic_return=[205.87672]
global_step=10841, episodic_return=[237.18336]
global_step=10940, episodic_return=[208.39804]
global_step=11045, episodic_return=[207.23425]
global_step=11141, episodic_return=[201.43254]
global_step=11232, episodic_return=[194.23209]
global_step=11394, episodic_return=[338.63428]
global_step=11496, episodic_return=[215.40932]
global_step=11609, episodic_return=[230.15346]
global_step=11715, episodic_return=[231.05374]
global_step=11860, episodic_return=[292.57498]
global_step=11976, episodic_return=[232.93623]
global_step=12077, episodic_return=[224.84933]
global_step=12200, episodic_return=[237.66743]
global_step=12306, episodic_return=[229.22182]
global_step=12467, episodic_return=[404.33112]
global_step=12630, episodic_return=[244.58356]
global_step=12784, episodic_return=[343.60522]
global_step=12890, episodic_return=[235.47926]
global_step=13002, episodic_return=[248.13197]
global_step=13120, episodic_return=[279.03964]
global_step=13349, episodic_return=[563.2705]
global_step=13513, episodic_return=[426.01547]
global_step=13698, episodic_return=[504.9836]
global_step=13909, episodic_return=[558.2271]
global_step=14081, episodic_return=[468.37045]
global_step=14232, episodic_return=[416.70825]
global_step=14433, episodic_return=[554.3624]
global_step=14635, episodic_return=[551.2692]
