True
global_step=999, episodic_return=[-234.36348]
/Tmp/slurm.4487132.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487132.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4487132.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487132.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1999, episodic_return=[-231.37318]
global_step=2999, episodic_return=[-255.903]
global_step=3999, episodic_return=[-208.04031]
global_step=4999, episodic_return=[-351.6293]
global_step=5999, episodic_return=[-315.5158]
global_step=6999, episodic_return=[-345.6077]
global_step=7999, episodic_return=[-345.38196]
global_step=8999, episodic_return=[-302.47263]
global_step=9999, episodic_return=[-197.15112]
global_step=10999, episodic_return=[-210.08203]
global_step=11999, episodic_return=[-176.84827]
global_step=12999, episodic_return=[-197.7211]
global_step=13999, episodic_return=[-220.35382]
global_step=14999, episodic_return=[-146.75233]
global_step=15999, episodic_return=[-84.07868]
global_step=16999, episodic_return=[-66.443474]
global_step=17999, episodic_return=[-96.52915]
global_step=18999, episodic_return=[-59.63328]
global_step=19999, episodic_return=[30.81602]
global_step=20999, episodic_return=[57.672825]
global_step=21999, episodic_return=[87.513176]
global_step=22999, episodic_return=[108.528336]
global_step=23999, episodic_return=[1.6824929]
global_step=24999, episodic_return=[445.03372]
global_step=25999, episodic_return=[522.83795]
global_step=26999, episodic_return=[886.9212]
global_step=27999, episodic_return=[1013.30255]
global_step=28999, episodic_return=[1128.5403]
global_step=29999, episodic_return=[1312.1134]
global_step=30999, episodic_return=[1346.0359]
global_step=31999, episodic_return=[794.483]
global_step=32999, episodic_return=[2069.8801]
global_step=33999, episodic_return=[2048.1182]
global_step=34999, episodic_return=[881.9944]
global_step=35999, episodic_return=[2470.4053]
global_step=36999, episodic_return=[2036.9874]
global_step=37999, episodic_return=[2343.3586]
global_step=38999, episodic_return=[2683.2817]
global_step=39999, episodic_return=[2633.4207]
global_step=40999, episodic_return=[2826.1252]
global_step=41999, episodic_return=[2719.5115]
global_step=42999, episodic_return=[2901.0005]
global_step=43999, episodic_return=[2748.364]
global_step=44999, episodic_return=[2763.2625]
global_step=45999, episodic_return=[3187.4636]
global_step=46999, episodic_return=[3174.0627]
global_step=47999, episodic_return=[3273.8425]
global_step=48999, episodic_return=[3314.5288]
global_step=49999, episodic_return=[3352.9104]
global_step=50999, episodic_return=[3402.924]
global_step=51999, episodic_return=[3471.593]
global_step=52999, episodic_return=[3771.384]
global_step=53999, episodic_return=[3781.567]
global_step=54999, episodic_return=[3922.247]
global_step=55999, episodic_return=[3689.33]
global_step=56999, episodic_return=[3939.9453]
global_step=57999, episodic_return=[3856.3306]
global_step=58999, episodic_return=[3994.2952]
global_step=59999, episodic_return=[4054.3665]
global_step=60999, episodic_return=[4057.9675]
global_step=61999, episodic_return=[4326.7085]
global_step=62999, episodic_return=[4163.159]
global_step=63999, episodic_return=[4369.8525]
global_step=64999, episodic_return=[4417.816]
global_step=65999, episodic_return=[4634.146]
global_step=66999, episodic_return=[4557.06]
global_step=67999, episodic_return=[4590.0957]
global_step=68999, episodic_return=[4821.866]
global_step=69999, episodic_return=[4921.47]
global_step=70999, episodic_return=[4718.689]
global_step=71999, episodic_return=[4968.9634]
global_step=72999, episodic_return=[4834.6846]
global_step=73999, episodic_return=[4833.315]
global_step=74999, episodic_return=[4912.1426]
global_step=75999, episodic_return=[5045.6294]
global_step=76999, episodic_return=[5090.889]
global_step=77999, episodic_return=[4933.8286]
global_step=78999, episodic_return=[5039.9688]
global_step=79999, episodic_return=[5163.7876]
global_step=80999, episodic_return=[899.23584]
global_step=81999, episodic_return=[5085.734]
global_step=82999, episodic_return=[5337.6143]
global_step=83999, episodic_return=[5457.9946]
global_step=84999, episodic_return=[5533.7607]
global_step=85999, episodic_return=[5607.1934]
global_step=86999, episodic_return=[5686.2324]
global_step=87999, episodic_return=[5708.1235]
global_step=88999, episodic_return=[5615.8164]
global_step=89999, episodic_return=[5915.33]
global_step=90999, episodic_return=[5830.571]
global_step=91999, episodic_return=[5802.9224]
global_step=92999, episodic_return=[5830.644]
global_step=93999, episodic_return=[5973.6343]
global_step=94999, episodic_return=[5917.9434]
global_step=95999, episodic_return=[5759.5874]
global_step=96999, episodic_return=[6067.958]
global_step=97999, episodic_return=[6049.6064]
