True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=70523, episodic_return=[917.24524]
global_step=71523, episodic_return=[911.93604]
global_step=72523, episodic_return=[921.14154]
global_step=73523, episodic_return=[915.97986]
global_step=74523, episodic_return=[690.09796]
global_step=75362, episodic_return=[707.23804]
global_step=76362, episodic_return=[940.5796]
global_step=77362, episodic_return=[837.022]
global_step=77865, episodic_return=[442.31845]
global_step=78865, episodic_return=[761.228]
global_step=79865, episodic_return=[918.9854]
global_step=80865, episodic_return=[925.5625]
global_step=81865, episodic_return=[920.7322]
global_step=82865, episodic_return=[914.17255]
global_step=83865, episodic_return=[928.583]
global_step=84865, episodic_return=[928.58234]
global_step=85865, episodic_return=[911.85486]
global_step=86865, episodic_return=[937.372]
global_step=87865, episodic_return=[902.70795]
global_step=88865, episodic_return=[916.66016]
global_step=89356, episodic_return=[422.78766]
global_step=90356, episodic_return=[899.05334]
global_step=91356, episodic_return=[856.52075]
global_step=91433, episodic_return=[67.98626]
global_step=92433, episodic_return=[947.2789]
global_step=93433, episodic_return=[946.6899]
global_step=94433, episodic_return=[928.66144]
global_step=95433, episodic_return=[941.2311]
global_step=96433, episodic_return=[933.8465]
global_step=97433, episodic_return=[947.59576]
global_step=98433, episodic_return=[935.4903]
global_step=99433, episodic_return=[940.1591]
global_step=100433, episodic_return=[824.00507]
global_step=101433, episodic_return=[947.0621]
global_step=102433, episodic_return=[915.36743]
global_step=103433, episodic_return=[954.6301]
global_step=104433, episodic_return=[912.98083]
global_step=105433, episodic_return=[900.68506]
global_step=106433, episodic_return=[699.24524]
global_step=107433, episodic_return=[944.44]
global_step=108433, episodic_return=[935.6962]
global_step=109433, episodic_return=[929.0571]
global_step=110433, episodic_return=[956.9537]
global_step=111433, episodic_return=[947.9266]
global_step=112433, episodic_return=[946.1848]
global_step=113433, episodic_return=[944.2667]
global_step=114433, episodic_return=[950.2328]
global_step=115433, episodic_return=[764.2956]
global_step=116433, episodic_return=[917.00305]
global_step=117433, episodic_return=[904.48566]
global_step=117925, episodic_return=[446.47247]
global_step=118925, episodic_return=[938.0879]
global_step=119925, episodic_return=[951.08435]
global_step=120925, episodic_return=[953.03253]
global_step=121925, episodic_return=[937.072]
global_step=122287, episodic_return=[323.97507]
global_step=123287, episodic_return=[976.2619]
global_step=124287, episodic_return=[959.5475]
global_step=125287, episodic_return=[948.37946]
global_step=126287, episodic_return=[961.5062]
global_step=127287, episodic_return=[950.4438]
global_step=128287, episodic_return=[947.4416]
global_step=129287, episodic_return=[894.62286]
global_step=130287, episodic_return=[970.59344]
global_step=131287, episodic_return=[943.1044]
global_step=132287, episodic_return=[948.0093]
global_step=133287, episodic_return=[966.64355]
global_step=134287, episodic_return=[791.43915]
global_step=135287, episodic_return=[768.78424]
global_step=136287, episodic_return=[793.90466]
global_step=136955, episodic_return=[609.6111]
global_step=137955, episodic_return=[814.9193]
global_step=138955, episodic_return=[944.4545]
global_step=139955, episodic_return=[987.66583]
global_step=140955, episodic_return=[1001.6414]
global_step=141955, episodic_return=[953.2751]
