True
global_step=95, episodic_return=[-49.776188]
global_step=1095, episodic_return=[-151.91129]
/Tmp/slurm.4496785.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496785.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496785.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496785.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1127, episodic_return=[1.9030988]
global_step=1193, episodic_return=[-29.879887]
global_step=1260, episodic_return=[-28.477993]
global_step=2260, episodic_return=[-167.9587]
global_step=3260, episodic_return=[-163.28105]
global_step=3505, episodic_return=[-59.17574]
global_step=3543, episodic_return=[-2.2249355]
global_step=3589, episodic_return=[19.04346]
global_step=3763, episodic_return=[-54.971325]
global_step=3883, episodic_return=[16.923672]
global_step=3977, episodic_return=[-23.306038]
global_step=4020, episodic_return=[-15.526342]
global_step=4039, episodic_return=[-11.218753]
global_step=4177, episodic_return=[9.946719]
global_step=4216, episodic_return=[-2.2611322]
global_step=4267, episodic_return=[-14.619824]
global_step=4337, episodic_return=[-0.4500246]
global_step=4405, episodic_return=[-50.647655]
global_step=4445, episodic_return=[-27.318316]
global_step=4468, episodic_return=[-26.652601]
global_step=4576, episodic_return=[-18.104584]
global_step=4627, episodic_return=[2.6193297]
global_step=4692, episodic_return=[6.527611]
global_step=4722, episodic_return=[23.479822]
global_step=4785, episodic_return=[-41.39405]
global_step=4801, episodic_return=[-6.6757927]
global_step=4905, episodic_return=[-30.366573]
global_step=4930, episodic_return=[9.390683]
global_step=5009, episodic_return=[-31.077227]
global_step=5052, episodic_return=[7.3228145]
global_step=5086, episodic_return=[-13.13347]
global_step=5139, episodic_return=[-26.472797]
global_step=5197, episodic_return=[-36.2728]
global_step=5264, episodic_return=[-0.39505458]
global_step=5318, episodic_return=[-16.190975]
global_step=5372, episodic_return=[-8.043233]
global_step=5394, episodic_return=[-15.758577]
global_step=5486, episodic_return=[-79.161064]
global_step=5592, episodic_return=[-33.696747]
global_step=6592, episodic_return=[-797.89716]
global_step=7592, episodic_return=[-974.17847]
global_step=7610, episodic_return=[-24.538147]
global_step=8610, episodic_return=[-1135.8906]
global_step=8682, episodic_return=[-142.73358]
global_step=9682, episodic_return=[-1143.6128]
global_step=9755, episodic_return=[-54.67701]
global_step=10755, episodic_return=[-872.02423]
global_step=10883, episodic_return=[-158.24298]
global_step=10912, episodic_return=[-15.472332]
global_step=10953, episodic_return=[-36.81685]
global_step=11953, episodic_return=[-670.2526]
global_step=12151, episodic_return=[-232.15215]
global_step=12295, episodic_return=[-126.52317]
global_step=12308, episodic_return=[-10.0609255]
global_step=13308, episodic_return=[-301.40244]
global_step=14308, episodic_return=[-190.28783]
