True
global_step=999, episodic_return=[-164.1433]
global_step=1015, episodic_return=[-7.0439725]
/Tmp/slurm.4496783.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496783.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496783.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496783.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=2015, episodic_return=[-149.78636]
global_step=3015, episodic_return=[-212.82333]
global_step=3033, episodic_return=[-11.011045]
global_step=3060, episodic_return=[-9.027831]
global_step=3082, episodic_return=[-3.512244]
global_step=3099, episodic_return=[-0.77587706]
global_step=4099, episodic_return=[-146.73164]
global_step=4163, episodic_return=[7.89611]
global_step=5163, episodic_return=[-170.41025]
global_step=5192, episodic_return=[-3.9740756]
global_step=6192, episodic_return=[-615.3631]
global_step=7192, episodic_return=[-873.3073]
global_step=7213, episodic_return=[-32.36183]
global_step=7228, episodic_return=[-8.752979]
global_step=7432, episodic_return=[-201.68048]
global_step=7488, episodic_return=[-22.92163]
global_step=7525, episodic_return=[-7.878237]
global_step=7834, episodic_return=[-318.75745]
global_step=7893, episodic_return=[-38.48612]
global_step=7961, episodic_return=[-97.33072]
global_step=8008, episodic_return=[-30.748934]
global_step=8064, episodic_return=[-56.16116]
global_step=8104, episodic_return=[-51.88856]
global_step=8159, episodic_return=[-76.34904]
global_step=8221, episodic_return=[-46.97818]
global_step=8278, episodic_return=[-22.502666]
global_step=8299, episodic_return=[-14.438129]
global_step=8345, episodic_return=[-68.42509]
global_step=9345, episodic_return=[-836.70593]
global_step=10345, episodic_return=[-782.1001]
global_step=10446, episodic_return=[-91.0198]
global_step=10491, episodic_return=[-30.816402]
global_step=10542, episodic_return=[-47.17433]
global_step=11542, episodic_return=[-593.9607]
global_step=11643, episodic_return=[-112.40434]
global_step=12643, episodic_return=[-641.328]
global_step=12741, episodic_return=[-120.030556]
global_step=12798, episodic_return=[-58.31343]
global_step=13798, episodic_return=[-220.17653]
global_step=13931, episodic_return=[-77.999756]
global_step=13958, episodic_return=[-31.521467]
global_step=14180, episodic_return=[-125.74105]
global_step=14199, episodic_return=[-11.485623]
global_step=14278, episodic_return=[-108.02308]
global_step=14510, episodic_return=[-194.95354]
global_step=14657, episodic_return=[-35.27736]
global_step=14832, episodic_return=[-107.4945]
global_step=14871, episodic_return=[15.83615]
global_step=15871, episodic_return=[51.583164]
global_step=15968, episodic_return=[-61.093037]
global_step=16968, episodic_return=[11.017087]
global_step=17253, episodic_return=[-94.435234]
global_step=18253, episodic_return=[182.04623]
global_step=18290, episodic_return=[-43.551292]
global_step=19290, episodic_return=[380.65048]
global_step=20091, episodic_return=[295.64655]
global_step=20664, episodic_return=[112.12217]
global_step=20864, episodic_return=[21.424896]
global_step=21864, episodic_return=[557.1816]
global_step=22864, episodic_return=[505.02704]
global_step=23864, episodic_return=[688.19183]
global_step=23890, episodic_return=[-3.8446116]
global_step=24890, episodic_return=[646.0913]
global_step=25890, episodic_return=[763.7991]
global_step=26890, episodic_return=[608.9831]
global_step=27890, episodic_return=[840.6395]
global_step=28890, episodic_return=[863.64716]
global_step=29890, episodic_return=[808.6519]
global_step=30890, episodic_return=[818.5447]
global_step=31890, episodic_return=[892.2857]
global_step=32890, episodic_return=[892.30334]
global_step=33890, episodic_return=[869.33704]
global_step=34890, episodic_return=[900.1692]
global_step=35890, episodic_return=[921.80255]
global_step=36890, episodic_return=[916.7994]
global_step=37890, episodic_return=[917.5447]
global_step=38890, episodic_return=[897.5089]
global_step=39890, episodic_return=[891.5668]
global_step=40890, episodic_return=[896.20685]
global_step=41890, episodic_return=[909.8048]
global_step=42890, episodic_return=[865.2183]
global_step=43890, episodic_return=[888.6381]
global_step=44890, episodic_return=[854.61395]
global_step=45890, episodic_return=[941.751]
global_step=46890, episodic_return=[943.0153]
global_step=47890, episodic_return=[943.2672]
global_step=48890, episodic_return=[935.835]
global_step=49890, episodic_return=[934.8678]
global_step=50890, episodic_return=[918.28]
global_step=51890, episodic_return=[922.60535]
global_step=52890, episodic_return=[917.9924]
global_step=53890, episodic_return=[912.35876]
global_step=54890, episodic_return=[847.8353]
global_step=55890, episodic_return=[932.40894]
global_step=56890, episodic_return=[902.85425]
global_step=57890, episodic_return=[890.4133]
global_step=58890, episodic_return=[888.0031]
global_step=59890, episodic_return=[917.3724]
global_step=60890, episodic_return=[930.33185]
global_step=61890, episodic_return=[932.28845]
global_step=62890, episodic_return=[918.8124]
global_step=63890, episodic_return=[707.0936]
global_step=64890, episodic_return=[897.00507]
global_step=65890, episodic_return=[956.51044]
global_step=66890, episodic_return=[938.4873]
global_step=67890, episodic_return=[920.1317]
global_step=68890, episodic_return=[924.7842]
global_step=69890, episodic_return=[954.11]
global_step=70890, episodic_return=[919.44275]
global_step=71890, episodic_return=[956.313]
global_step=72890, episodic_return=[913.8976]
global_step=73890, episodic_return=[810.6073]
global_step=74890, episodic_return=[906.264]
global_step=75890, episodic_return=[932.3781]
global_step=76890, episodic_return=[946.71344]
global_step=77890, episodic_return=[919.8135]
global_step=78890, episodic_return=[916.5572]
global_step=79890, episodic_return=[914.06036]
global_step=80890, episodic_return=[959.65173]
global_step=81890, episodic_return=[891.39105]
global_step=82890, episodic_return=[920.4933]
global_step=83890, episodic_return=[905.035]
global_step=84890, episodic_return=[920.2692]
global_step=85890, episodic_return=[913.7408]
global_step=86890, episodic_return=[886.8713]
global_step=87890, episodic_return=[963.82935]
global_step=88890, episodic_return=[912.126]
global_step=89890, episodic_return=[929.31036]
global_step=90890, episodic_return=[950.11444]
global_step=91890, episodic_return=[962.46796]
global_step=92890, episodic_return=[937.28156]
global_step=93890, episodic_return=[919.90125]
global_step=94890, episodic_return=[931.0882]
global_step=95364, episodic_return=[447.8254]
global_step=96364, episodic_return=[901.4234]
global_step=96449, episodic_return=[66.675644]
global_step=96752, episodic_return=[287.87732]
global_step=97062, episodic_return=[206.18306]
global_step=98062, episodic_return=[914.52673]
global_step=99062, episodic_return=[823.7074]
global_step=100062, episodic_return=[931.70856]
global_step=101062, episodic_return=[923.8682]
global_step=102062, episodic_return=[920.46924]
global_step=103062, episodic_return=[942.9342]
global_step=104062, episodic_return=[934.5012]
global_step=105062, episodic_return=[934.53046]
global_step=106062, episodic_return=[930.3382]
global_step=107062, episodic_return=[943.22]
global_step=108062, episodic_return=[954.5744]
global_step=109062, episodic_return=[950.2042]
global_step=110062, episodic_return=[903.8183]
global_step=111062, episodic_return=[950.6134]
global_step=112062, episodic_return=[919.96814]
global_step=113062, episodic_return=[953.4965]
global_step=114062, episodic_return=[921.34705]
