True
global_step=999, episodic_return=[31336.598]
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=137999, episodic_return=[130868.76]
global_step=138999, episodic_return=[132106.17]
global_step=139999, episodic_return=[131523.5]
global_step=140999, episodic_return=[131685.53]
global_step=141999, episodic_return=[133171.08]
global_step=142999, episodic_return=[132376.69]
global_step=143999, episodic_return=[132703.89]
global_step=144999, episodic_return=[131483.61]
global_step=145999, episodic_return=[131008.484]
global_step=146999, episodic_return=[131871.97]
global_step=147999, episodic_return=[135585.89]
global_step=148999, episodic_return=[131299.58]
global_step=149999, episodic_return=[131542.53]
global_step=150999, episodic_return=[131613.48]
global_step=151999, episodic_return=[131874.23]
global_step=152999, episodic_return=[131853.66]
global_step=153999, episodic_return=[131151.72]
global_step=154999, episodic_return=[132356.62]
global_step=155999, episodic_return=[131976.33]
global_step=156999, episodic_return=[135762.55]
global_step=157999, episodic_return=[131953.28]
global_step=158999, episodic_return=[131459.25]
global_step=159999, episodic_return=[134638.88]
global_step=160999, episodic_return=[135633.98]
global_step=161999, episodic_return=[132589.69]
global_step=162999, episodic_return=[132764.53]
global_step=163999, episodic_return=[133064.53]
global_step=164999, episodic_return=[122647.055]
global_step=165999, episodic_return=[137536.84]
global_step=166999, episodic_return=[133078.55]
global_step=167999, episodic_return=[133890.]
global_step=168999, episodic_return=[133673.98]
global_step=169999, episodic_return=[133328.05]
global_step=170999, episodic_return=[132158.3]
global_step=171999, episodic_return=[132667.42]
global_step=172999, episodic_return=[134362.19]
global_step=173999, episodic_return=[136074.94]
global_step=174999, episodic_return=[132741.7]
global_step=175999, episodic_return=[133945.]
global_step=176999, episodic_return=[136738.44]
global_step=177999, episodic_return=[137646.81]
global_step=178999, episodic_return=[136634.27]
global_step=179999, episodic_return=[139059.7]
global_step=180999, episodic_return=[136223.36]
global_step=181999, episodic_return=[137120.75]
global_step=182999, episodic_return=[137546.97]
global_step=183999, episodic_return=[135786.94]
global_step=184999, episodic_return=[137142.81]
global_step=185999, episodic_return=[136895.27]
global_step=186999, episodic_return=[136865.48]
global_step=187999, episodic_return=[144040.72]
global_step=188999, episodic_return=[135711.75]
global_step=189999, episodic_return=[144413.1]
global_step=190999, episodic_return=[142531.69]
global_step=191999, episodic_return=[141316.31]
global_step=192999, episodic_return=[140966.06]
global_step=193999, episodic_return=[141441.69]
global_step=194999, episodic_return=[146851.72]
global_step=195999, episodic_return=[147959.64]
global_step=196999, episodic_return=[138339.83]
global_step=197999, episodic_return=[151050.05]
global_step=198999, episodic_return=[141458.48]
global_step=199999, episodic_return=[146795.]
global_step=200999, episodic_return=[146375.88]
global_step=201999, episodic_return=[142406.47]
global_step=202999, episodic_return=[149867.64]
global_step=203999, episodic_return=[150746.98]
global_step=204999, episodic_return=[152141.08]
global_step=205999, episodic_return=[140441.78]
global_step=206999, episodic_return=[147521.88]
global_step=207999, episodic_return=[148155.83]
global_step=208999, episodic_return=[147460.33]
global_step=209999, episodic_return=[150455.98]
global_step=210999, episodic_return=[150665.92]
global_step=211999, episodic_return=[151470.94]
global_step=212999, episodic_return=[148227.55]
global_step=213999, episodic_return=[151258.84]
global_step=214999, episodic_return=[150082.53]
global_step=215999, episodic_return=[151911.52]
global_step=216999, episodic_return=[152927.42]
global_step=217999, episodic_return=[150474.98]
global_step=218999, episodic_return=[151192.33]
global_step=219999, episodic_return=[152158.88]
global_step=220999, episodic_return=[151632.48]
global_step=221999, episodic_return=[153023.08]
global_step=222999, episodic_return=[150432.03]
global_step=223999, episodic_return=[148055.44]
global_step=224999, episodic_return=[149128.9]
global_step=225999, episodic_return=[150773.36]
global_step=226999, episodic_return=[150362.02]
global_step=227999, episodic_return=[151308.88]
global_step=228999, episodic_return=[150892.77]
global_step=229999, episodic_return=[152484.86]
global_step=230999, episodic_return=[151049.56]
global_step=231999, episodic_return=[150872.31]
global_step=232999, episodic_return=[150370.7]
global_step=233999, episodic_return=[152560.05]
global_step=234999, episodic_return=[150107.8]
global_step=235999, episodic_return=[153179.36]
global_step=236999, episodic_return=[153726.92]
global_step=237999, episodic_return=[151529.39]
global_step=238999, episodic_return=[152859.62]
global_step=239999, episodic_return=[150925.42]
global_step=240999, episodic_return=[152059.34]
global_step=241999, episodic_return=[153598.38]
global_step=242999, episodic_return=[153969.48]
global_step=243999, episodic_return=[153747.84]
global_step=244999, episodic_return=[154506.16]
global_step=245999, episodic_return=[154161.58]
global_step=246999, episodic_return=[151376.27]
global_step=247999, episodic_return=[151097.06]
global_step=248999, episodic_return=[151640.84]
global_step=249999, episodic_return=[154316.44]
global_step=250999, episodic_return=[154457.67]
global_step=251999, episodic_return=[152928.17]
global_step=252999, episodic_return=[152344.9]
global_step=253999, episodic_return=[153828.02]
global_step=254999, episodic_return=[151222.64]
global_step=255999, episodic_return=[153900.36]
global_step=256999, episodic_return=[150217.2]
global_step=257999, episodic_return=[151566.34]
global_step=258999, episodic_return=[152837.23]
global_step=259999, episodic_return=[112230.84]
global_step=260999, episodic_return=[151422.52]
global_step=261999, episodic_return=[152976.03]
global_step=262999, episodic_return=[153321.34]
global_step=263999, episodic_return=[151878.78]
global_step=264999, episodic_return=[152543.56]
global_step=265999, episodic_return=[153848.83]
global_step=266999, episodic_return=[154011.19]
global_step=267999, episodic_return=[151149.6]
global_step=268999, episodic_return=[151588.22]
global_step=269999, episodic_return=[151724.75]
global_step=270999, episodic_return=[153181.23]
global_step=271999, episodic_return=[151091.4]
