True
global_step=2787, episodic_return=[0.9217536]
global_step=2818, episodic_return=[14.65055]
global_step=2839, episodic_return=[8.397428]
global_step=2849, episodic_return=[-2.0388787]
global_step=2878, episodic_return=[9.811398]
global_step=2898, episodic_return=[-6.3293724]
global_step=2912, episodic_return=[1.4893904]
global_step=2932, episodic_return=[3.1493292]
global_step=2951, episodic_return=[-2.0782547]
global_step=2965, episodic_return=[3.2540982]
global_step=2998, episodic_return=[9.528523]
global_step=3020, episodic_return=[10.546949]
global_step=3039, episodic_return=[4.9190235]
global_step=3053, episodic_return=[1.035161]
global_step=3071, episodic_return=[0.34584093]
global_step=3099, episodic_return=[4.7393546]
global_step=3125, episodic_return=[2.509776]
global_step=3156, episodic_return=[0.3479177]
global_step=3171, episodic_return=[-2.3150156]
global_step=3187, episodic_return=[3.6587648]
global_step=3220, episodic_return=[18.586512]
global_step=3257, episodic_return=[10.775294]
global_step=3274, episodic_return=[2.9408956]
global_step=3291, episodic_return=[-1.3532419]
global_step=3308, episodic_return=[-0.7312002]
global_step=3339, episodic_return=[5.2869487]
global_step=3350, episodic_return=[0.61547536]
global_step=3363, episodic_return=[0.17857385]
global_step=3386, episodic_return=[7.4178705]
global_step=3396, episodic_return=[-1.5119977]
global_step=3428, episodic_return=[11.791662]
global_step=3441, episodic_return=[-3.6263528]
global_step=4201, episodic_return=[-0.16616687]
global_step=4232, episodic_return=[15.508267]
global_step=4250, episodic_return=[3.077594]
global_step=4263, episodic_return=[-1.6986715]
global_step=4286, episodic_return=[1.8763816]
global_step=4331, episodic_return=[8.045079]
global_step=4343, episodic_return=[-2.9632025]
global_step=4359, episodic_return=[1.2151003]
global_step=4384, episodic_return=[5.3108945]
global_step=4423, episodic_return=[15.694366]
global_step=4447, episodic_return=[13.315394]
global_step=4460, episodic_return=[4.1352053]
global_step=4474, episodic_return=[-2.4427068]
global_step=4492, episodic_return=[7.5360928]
global_step=4529, episodic_return=[21.865593]
global_step=4543, episodic_return=[-0.44063157]
global_step=4572, episodic_return=[-5.341337]
global_step=4582, episodic_return=[-0.00178426]
global_step=4603, episodic_return=[0.04195029]
global_step=4625, episodic_return=[10.213236]
global_step=4637, episodic_return=[0.6827957]
global_step=4650, episodic_return=[4.4323826]
global_step=4664, episodic_return=[-2.0641022]
global_step=4683, episodic_return=[7.5972996]
global_step=4696, episodic_return=[-6.097326]
global_step=4731, episodic_return=[1.8594002]
global_step=4748, episodic_return=[0.7697928]
global_step=4766, episodic_return=[5.8040714]
global_step=4787, episodic_return=[3.6194787]
global_step=4811, episodic_return=[-8.838335]
global_step=4824, episodic_return=[-2.6124036]
global_step=4850, episodic_return=[11.177571]
global_step=4876, episodic_return=[2.7609303]
global_step=4889, episodic_return=[2.8877685]
global_step=4912, episodic_return=[7.280056]
global_step=4937, episodic_return=[6.355789]
global_step=4963, episodic_return=[13.972087]
global_step=4990, episodic_return=[4.6039023]
global_step=5016, episodic_return=[-3.4235177]
global_step=5032, episodic_return=[0.94257206]
global_step=5045, episodic_return=[-2.9125974]
global_step=5062, episodic_return=[-0.64591396]
global_step=5081, episodic_return=[-0.8438012]
global_step=5093, episodic_return=[-0.76230645]
global_step=5113, episodic_return=[7.1822696]
global_step=5132, episodic_return=[2.5484116]
global_step=5148, episodic_return=[0.7349061]
global_step=5177, episodic_return=[2.0112092]
global_step=5199, episodic_return=[0.6834544]
global_step=5219, episodic_return=[-5.824743]
global_step=5240, episodic_return=[-6.167348]
global_step=5249, episodic_return=[-5.131139]
global_step=5263, episodic_return=[-6.576176]
global_step=5272, episodic_return=[-2.617305]
global_step=5287, episodic_return=[-11.036341]
global_step=5301, episodic_return=[-12.233089]
global_step=5327, episodic_return=[1.5853205]
global_step=5344, episodic_return=[-10.357279]
global_step=5364, episodic_return=[-5.981464]
global_step=5384, episodic_return=[-6.287927]
global_step=5401, episodic_return=[-9.618]
global_step=5417, episodic_return=[-10.433286]
global_step=5433, episodic_return=[-8.863406]
global_step=5449, episodic_return=[-12.2940855]
global_step=5465, episodic_return=[-12.181851]
global_step=5483, episodic_return=[-9.426476]
global_step=5504, episodic_return=[-9.549228]
global_step=5527, episodic_return=[-3.6525633]
global_step=5545, episodic_return=[-7.8064985]
global_step=5560, episodic_return=[-11.098852]
global_step=5579, episodic_return=[-7.8327394]
global_step=5599, episodic_return=[-8.369888]
global_step=5617, episodic_return=[-11.489336]
global_step=5637, episodic_return=[-10.189249]
global_step=5656, episodic_return=[-9.353647]
global_step=5672, episodic_return=[-12.16325]
global_step=5687, episodic_return=[-11.994058]
global_step=5705, episodic_return=[-9.480702]
global_step=5725, episodic_return=[-7.161981]
global_step=5744, episodic_return=[-8.290256]
global_step=5761, episodic_return=[-12.137581]
global_step=5781, episodic_return=[-15.88527]
global_step=5799, episodic_return=[-11.148443]
global_step=5819, episodic_return=[-12.14781]
global_step=5835, episodic_return=[-14.691032]
global_step=5859, episodic_return=[-11.446491]
global_step=5881, episodic_return=[-12.430753]
global_step=5899, episodic_return=[-10.444867]
global_step=5918, episodic_return=[-11.454764]
global_step=5940, episodic_return=[-12.792691]
global_step=5961, episodic_return=[-4.798933]
global_step=5981, episodic_return=[-6.1050997]
