/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=18, episodic_return=[-0.05705129]
global_step=28, episodic_return=[-2.2348313]
global_step=53, episodic_return=[-5.538566]
global_step=85, episodic_return=[4.369227]
global_step=95, episodic_return=[0.20677413]
global_step=106, episodic_return=[-1.8021755]
global_step=136, episodic_return=[5.5963254]
global_step=170, episodic_return=[18.261272]
global_step=191, episodic_return=[5.1998296]
global_step=211, episodic_return=[1.5289118]
global_step=239, episodic_return=[14.075487]
global_step=259, episodic_return=[6.368299]
global_step=281, episodic_return=[-1.6222255]
global_step=344, episodic_return=[39.73563]
global_step=367, episodic_return=[11.690712]
global_step=379, episodic_return=[3.052089]
global_step=393, episodic_return=[-0.719964]
global_step=414, episodic_return=[6.218626]
global_step=433, episodic_return=[5.3267093]
global_step=444, episodic_return=[0.2046585]
global_step=469, episodic_return=[-4.679043]
global_step=479, episodic_return=[-2.906506]
global_step=498, episodic_return=[4.266133]
global_step=508, episodic_return=[-1.6869408]
global_step=517, episodic_return=[-1.4479403]
global_step=537, episodic_return=[1.5989757]
global_step=547, episodic_return=[-2.3576102]
global_step=567, episodic_return=[7.056942]
global_step=579, episodic_return=[1.0742644]
global_step=602, episodic_return=[0.8901461]
global_step=623, episodic_return=[-3.8645494]
global_step=636, episodic_return=[3.1924038]
global_step=653, episodic_return=[4.8425937]
global_step=680, episodic_return=[4.0732036]
global_step=705, episodic_return=[1.0443002]
global_step=751, episodic_return=[9.188021]
global_step=771, episodic_return=[9.045625]
global_step=797, episodic_return=[-1.3478593]
global_step=812, episodic_return=[1.7402931]
global_step=833, episodic_return=[6.3960648]
global_step=847, episodic_return=[2.0948467]
global_step=860, episodic_return=[-4.0097885]
global_step=893, episodic_return=[-0.79302835]
global_step=921, episodic_return=[2.6155372]
global_step=936, episodic_return=[-3.3965695]
global_step=956, episodic_return=[1.0013965]
global_step=966, episodic_return=[-0.45965677]
global_step=998, episodic_return=[-0.94017196]
global_step=1012, episodic_return=[0.7075892]
global_step=1027, episodic_return=[4.681837]
global_step=1053, episodic_return=[-2.8272445]
global_step=1068, episodic_return=[0.62000626]
global_step=1099, episodic_return=[-12.535026]
global_step=1130, episodic_return=[20.295385]
global_step=1147, episodic_return=[4.1476808]
global_step=1164, episodic_return=[0.12961464]
global_step=1185, episodic_return=[4.641605]
global_step=1211, episodic_return=[13.059802]
global_step=1233, episodic_return=[-3.559348]
global_step=1254, episodic_return=[0.20048289]
global_step=1276, episodic_return=[7.8797197]
global_step=1296, episodic_return=[-1.4161192]
global_step=1313, episodic_return=[2.4948845]
global_step=1330, episodic_return=[5.9169664]
global_step=1346, episodic_return=[0.2861874]
global_step=1371, episodic_return=[-1.9439191]
global_step=1388, episodic_return=[2.176465]
global_step=1404, episodic_return=[-0.6374041]
global_step=1419, episodic_return=[1.2971978]
global_step=1432, episodic_return=[3.0924363]
global_step=1447, episodic_return=[0.39983377]
global_step=1461, episodic_return=[0.4558003]
global_step=1475, episodic_return=[-0.55976653]
global_step=1500, episodic_return=[-2.943481]
global_step=1517, episodic_return=[-4.997858]
global_step=1534, episodic_return=[-4.6793423]
global_step=1550, episodic_return=[-0.44338888]
global_step=1569, episodic_return=[5.024296]
global_step=1583, episodic_return=[0.04443014]
global_step=1593, episodic_return=[1.638394]
global_step=1604, episodic_return=[-0.453701]
global_step=1618, episodic_return=[-2.241479]
global_step=1631, episodic_return=[-0.89199793]
global_step=1654, episodic_return=[-2.3431535]
global_step=1677, episodic_return=[9.303567]
global_step=1710, episodic_return=[7.764002]
