/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=2690, episodic_return=[17.114883]
global_step=2712, episodic_return=[-0.5023502]
global_step=2736, episodic_return=[7.372133]
global_step=2757, episodic_return=[6.1644306]
global_step=2772, episodic_return=[-2.4266922]
global_step=2786, episodic_return=[0.5056135]
global_step=2815, episodic_return=[11.231985]
global_step=2839, episodic_return=[12.844331]
global_step=2849, episodic_return=[-2.070925]
global_step=2878, episodic_return=[9.281702]
global_step=2897, episodic_return=[-6.5600553]
global_step=2912, episodic_return=[0.48660958]
global_step=2932, episodic_return=[3.1669986]
global_step=2951, episodic_return=[-3.1191933]
global_step=2964, episodic_return=[2.4385347]
global_step=2995, episodic_return=[6.6080093]
global_step=3017, episodic_return=[10.085554]
global_step=3038, episodic_return=[6.02109]
global_step=3052, episodic_return=[1.1651821]
global_step=3072, episodic_return=[2.2374911]
global_step=3105, episodic_return=[10.987593]
global_step=3132, episodic_return=[2.936436]
global_step=3156, episodic_return=[1.9118495]
global_step=3171, episodic_return=[-2.2014437]
global_step=3186, episodic_return=[3.2172089]
global_step=3219, episodic_return=[13.679491]
global_step=3248, episodic_return=[5.9551134]
global_step=3269, episodic_return=[4.6389832]
global_step=3288, episodic_return=[2.8543215]
global_step=3302, episodic_return=[-1.211761]
global_step=3331, episodic_return=[6.5355024]
global_step=3348, episodic_return=[-1.7349038]
global_step=3359, episodic_return=[0.06006162]
global_step=3386, episodic_return=[11.330173]
global_step=3395, episodic_return=[-1.1958323]
global_step=3428, episodic_return=[17.051596]
global_step=3441, episodic_return=[-3.9053903]
global_step=3474, episodic_return=[10.990866]
global_step=3484, episodic_return=[-3.7793834]
global_step=3528, episodic_return=[29.018595]
global_step=3541, episodic_return=[1.8629239]
global_step=3553, episodic_return=[1.8099421]
global_step=3573, episodic_return=[9.907485]
global_step=3607, episodic_return=[3.9163926]
global_step=3653, episodic_return=[25.962643]
