True
global_step=18, episodic_return=[0.42596218]
global_step=28, episodic_return=[-1.8425982]
global_step=53, episodic_return=[-4.895172]
global_step=86, episodic_return=[5.3028007]
global_step=99, episodic_return=[2.6457555]
global_step=123, episodic_return=[2.0010266]
global_step=142, episodic_return=[5.780233]
global_step=175, episodic_return=[22.437107]
global_step=192, episodic_return=[5.852694]
global_step=212, episodic_return=[1.5382658]
global_step=238, episodic_return=[7.6738987]
global_step=260, episodic_return=[7.857158]
global_step=284, episodic_return=[1.0410393]
global_step=344, episodic_return=[20.483128]
global_step=367, episodic_return=[11.626044]
global_step=380, episodic_return=[4.1806855]
global_step=393, episodic_return=[1.02912]
global_step=414, episodic_return=[6.191912]
global_step=434, episodic_return=[6.2713575]
global_step=446, episodic_return=[1.2843759]
global_step=469, episodic_return=[-3.4747696]
global_step=480, episodic_return=[-3.5065393]
global_step=498, episodic_return=[2.4272244]
global_step=508, episodic_return=[-1.552516]
global_step=517, episodic_return=[-1.3323023]
global_step=544, episodic_return=[4.177523]
global_step=557, episodic_return=[2.0818186]
global_step=580, episodic_return=[8.027309]
global_step=603, episodic_return=[0.09630585]
global_step=623, episodic_return=[-2.9278507]
global_step=637, episodic_return=[4.410762]
global_step=653, episodic_return=[5.9859185]
global_step=680, episodic_return=[4.565484]
global_step=705, episodic_return=[3.1692984]
global_step=735, episodic_return=[8.259792]
global_step=765, episodic_return=[17.575209]
global_step=783, episodic_return=[4.498472]
global_step=801, episodic_return=[3.8768725]
global_step=812, episodic_return=[-0.31523183]
global_step=834, episodic_return=[6.9741054]
global_step=859, episodic_return=[1.3875756]
global_step=893, episodic_return=[4.2289505]
global_step=921, episodic_return=[4.1027822]
global_step=937, episodic_return=[-3.5142736]
global_step=957, episodic_return=[1.5005212]
global_step=966, episodic_return=[-0.9541365]
global_step=999, episodic_return=[-1.1254019]
global_step=1014, episodic_return=[1.539928]
global_step=1027, episodic_return=[2.9084704]
global_step=1052, episodic_return=[-2.517223]
global_step=1064, episodic_return=[-0.13540956]
global_step=1090, episodic_return=[-5.580406]
global_step=1106, episodic_return=[0.8757694]
/Tmp/slurm.4496595.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496595.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496595.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496595.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1137, episodic_return=[19.011333]
global_step=1152, episodic_return=[2.2682924]
global_step=1178, episodic_return=[1.7187957]
global_step=1209, episodic_return=[4.183443]
global_step=1222, episodic_return=[2.1075635]
global_step=1235, episodic_return=[-1.2734967]
global_step=1255, episodic_return=[1.9418453]
global_step=1274, episodic_return=[3.535491]
global_step=1285, episodic_return=[-3.9418068]
global_step=1300, episodic_return=[2.0915992]
global_step=1328, episodic_return=[4.4967237]
global_step=1338, episodic_return=[-1.1757252]
global_step=1362, episodic_return=[-2.6887949]
global_step=1387, episodic_return=[6.8403215]
global_step=1403, episodic_return=[-0.34504634]
global_step=1419, episodic_return=[1.6265991]
global_step=1432, episodic_return=[3.4537616]
global_step=1447, episodic_return=[0.46622038]
global_step=1461, episodic_return=[0.50793093]
global_step=1475, episodic_return=[-0.3027529]
global_step=1501, episodic_return=[-2.2569802]
global_step=1517, episodic_return=[-5.887188]
global_step=1534, episodic_return=[-4.322718]
global_step=1550, episodic_return=[-0.14570278]
global_step=1570, episodic_return=[4.9139395]
global_step=1584, episodic_return=[-0.1278331]
global_step=1593, episodic_return=[0.41550946]
global_step=1605, episodic_return=[-0.03531675]
global_step=1618, episodic_return=[-1.1823592]
global_step=1632, episodic_return=[0.04267748]
global_step=1650, episodic_return=[-0.26952466]
global_step=1676, episodic_return=[10.444093]
global_step=1710, episodic_return=[3.8761408]
global_step=1728, episodic_return=[2.4038]
global_step=1739, episodic_return=[-1.8615437]
global_step=1758, episodic_return=[-3.4311647]
global_step=1774, episodic_return=[2.5838525]
global_step=1791, episodic_return=[3.1558163]
global_step=1826, episodic_return=[7.203098]
global_step=1858, episodic_return=[19.091242]
global_step=1882, episodic_return=[-2.6349108]
global_step=1892, episodic_return=[-4.5103707]
global_step=1921, episodic_return=[2.707186]
global_step=1974, episodic_return=[23.843466]
global_step=1995, episodic_return=[1.266826]
global_step=2006, episodic_return=[-4.7250605]
global_step=2022, episodic_return=[2.509634]
global_step=2051, episodic_return=[7.3265376]
global_step=2067, episodic_return=[5.8766255]
global_step=2102, episodic_return=[17.603329]
global_step=2114, episodic_return=[1.2366297]
global_step=2126, episodic_return=[-7.2352057]
global_step=2142, episodic_return=[-1.9255233]
global_step=2163, episodic_return=[-4.4732537]
global_step=2174, episodic_return=[0.12923732]
global_step=2202, episodic_return=[14.487372]
global_step=2238, episodic_return=[8.235827]
global_step=2253, episodic_return=[1.8492961]
global_step=2296, episodic_return=[12.6442585]
global_step=2325, episodic_return=[5.0457783]
global_step=2342, episodic_return=[0.62154937]
global_step=2356, episodic_return=[2.4924827]
global_step=2389, episodic_return=[10.316682]
global_step=2407, episodic_return=[3.2489734]
global_step=2422, episodic_return=[2.7583497]
global_step=2441, episodic_return=[9.577636]
global_step=2457, episodic_return=[0.56203145]
