True
global_step=30, episodic_return=[7.4225707]
global_step=60, episodic_return=[2.2735338]
global_step=73, episodic_return=[0.98810875]
global_step=106, episodic_return=[17.335957]
global_step=144, episodic_return=[23.599361]
global_step=158, episodic_return=[3.1166632]
global_step=179, episodic_return=[2.39451]
global_step=219, episodic_return=[10.751242]
global_step=246, episodic_return=[-2.2356951]
global_step=267, episodic_return=[2.3492115]
global_step=285, episodic_return=[-6.117139]
global_step=310, episodic_return=[1.8901591]
global_step=323, episodic_return=[-0.62316513]
global_step=338, episodic_return=[1.1502739]
global_step=347, episodic_return=[-1.6321499]
global_step=372, episodic_return=[6.525219]
global_step=407, episodic_return=[12.99986]
global_step=419, episodic_return=[-0.40565485]
global_step=437, episodic_return=[3.2805085]
global_step=451, episodic_return=[3.7157884]
global_step=467, episodic_return=[1.4361913]
global_step=499, episodic_return=[10.002458]
global_step=515, episodic_return=[-0.94125783]
global_step=530, episodic_return=[2.994339]
global_step=543, episodic_return=[-1.0192559]
global_step=553, episodic_return=[-1.210248]
global_step=577, episodic_return=[-3.30089]
global_step=602, episodic_return=[-7.8620644]
global_step=621, episodic_return=[7.8147326]
global_step=644, episodic_return=[-2.932929]
global_step=678, episodic_return=[15.389846]
global_step=695, episodic_return=[-1.7859805]
global_step=732, episodic_return=[11.030228]
global_step=747, episodic_return=[-0.37520206]
global_step=763, episodic_return=[-6.03331]
global_step=791, episodic_return=[9.586945]
global_step=823, episodic_return=[9.497323]
global_step=840, episodic_return=[6.3110642]
global_step=850, episodic_return=[-5.419267]
global_step=869, episodic_return=[3.8218322]
global_step=893, episodic_return=[3.4704337]
global_step=905, episodic_return=[1.9502409]
global_step=931, episodic_return=[0.8857067]
global_step=967, episodic_return=[9.500916]
global_step=981, episodic_return=[1.4556882]
global_step=999, episodic_return=[2.9173498]
global_step=1009, episodic_return=[-1.8863611]
global_step=1022, episodic_return=[1.189578]
global_step=1053, episodic_return=[11.293427]
global_step=1083, episodic_return=[5.2423096]
global_step=1117, episodic_return=[16.085426]
global_step=1137, episodic_return=[7.459302]
global_step=1148, episodic_return=[-0.54246557]
global_step=1169, episodic_return=[1.5631305]
global_step=1188, episodic_return=[0.42032024]
global_step=1204, episodic_return=[1.9385449]
global_step=1226, episodic_return=[5.3772697]
global_step=1253, episodic_return=[3.0742188]
global_step=1282, episodic_return=[-2.5246751]
global_step=1304, episodic_return=[-3.102896]
global_step=1319, episodic_return=[-5.2012954]
/Tmp/slurm.4496603.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496603.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496603.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496603.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1351, episodic_return=[3.4727235]
global_step=1365, episodic_return=[-1.5916975]
global_step=1378, episodic_return=[-4.013161]
global_step=1406, episodic_return=[-1.0130589]
global_step=1429, episodic_return=[2.2693481]
global_step=1440, episodic_return=[-2.748928]
global_step=1459, episodic_return=[-4.641864]
global_step=1471, episodic_return=[-1.291668]
global_step=1491, episodic_return=[3.7448235]
global_step=1506, episodic_return=[0.0623749]
global_step=1527, episodic_return=[3.7171578]
global_step=1544, episodic_return=[-7.49061]
global_step=1565, episodic_return=[0.13900685]
global_step=1609, episodic_return=[23.418938]
global_step=1641, episodic_return=[2.5640779]
global_step=1658, episodic_return=[-6.145912]
global_step=1687, episodic_return=[2.4520264]
global_step=1701, episodic_return=[-5.825031]
global_step=1731, episodic_return=[3.3089855]
global_step=1760, episodic_return=[4.9620223]
global_step=1792, episodic_return=[5.0580745]
global_step=1821, episodic_return=[0.8948721]
global_step=1855, episodic_return=[17.861053]
global_step=1873, episodic_return=[0.72267485]
global_step=1889, episodic_return=[1.3664603]
global_step=1908, episodic_return=[-1.1708117]
global_step=1932, episodic_return=[4.6055007]
global_step=1963, episodic_return=[10.535183]
global_step=1975, episodic_return=[-4.3206234]
global_step=1991, episodic_return=[7.2814803]
global_step=2003, episodic_return=[-3.6395416]
global_step=2032, episodic_return=[-0.444013]
global_step=2046, episodic_return=[3.660434]
global_step=2061, episodic_return=[4.6195064]
global_step=2083, episodic_return=[10.556178]
global_step=2107, episodic_return=[2.4293616]
global_step=2128, episodic_return=[9.2953615]
global_step=2154, episodic_return=[-0.06702232]
global_step=2174, episodic_return=[9.011366]
global_step=2199, episodic_return=[3.5443153]
global_step=2210, episodic_return=[-0.73267245]
global_step=2229, episodic_return=[3.7780018]
global_step=2244, episodic_return=[4.5025945]
global_step=2273, episodic_return=[15.759457]
global_step=2310, episodic_return=[5.3962903]
global_step=2345, episodic_return=[0.28526506]
global_step=2359, episodic_return=[1.2780445]
global_step=2384, episodic_return=[-3.0644052]
global_step=2401, episodic_return=[4.1430235]
global_step=2418, episodic_return=[2.4356272]
global_step=2434, episodic_return=[5.2515464]
global_step=2467, episodic_return=[13.202186]
global_step=2490, episodic_return=[-4.3975024]
global_step=2513, episodic_return=[6.8167357]
global_step=2532, episodic_return=[-1.5149938]
global_step=2549, episodic_return=[6.2009583]
global_step=2564, episodic_return=[-0.47826093]
global_step=2578, episodic_return=[-1.744457]
global_step=2592, episodic_return=[-2.3761396]
global_step=2603, episodic_return=[-2.7528715]
global_step=2625, episodic_return=[-6.796943]
global_step=2649, episodic_return=[-0.24995841]
global_step=2661, episodic_return=[-2.999992]
global_step=2694, episodic_return=[6.14297]
global_step=2709, episodic_return=[-1.1053673]
global_step=2730, episodic_return=[4.090357]
global_step=2746, episodic_return=[-0.7325236]
global_step=2764, episodic_return=[-3.666041]
global_step=2797, episodic_return=[12.06356]
global_step=2818, episodic_return=[-4.384748]
global_step=2885, episodic_return=[19.787565]
global_step=2903, episodic_return=[-1.9052424]
global_step=2920, episodic_return=[-5.116618]
global_step=2931, episodic_return=[0.31429622]
global_step=2956, episodic_return=[-0.6865586]
global_step=2979, episodic_return=[-0.38774815]
global_step=2991, episodic_return=[-0.7855216]
global_step=3008, episodic_return=[0.21339698]
global_step=3022, episodic_return=[1.1545954]
global_step=3041, episodic_return=[6.826384]
global_step=3059, episodic_return=[6.3463106]
global_step=3072, episodic_return=[1.216933]
global_step=3103, episodic_return=[0.56225264]
global_step=3115, episodic_return=[-1.0288248]
global_step=3153, episodic_return=[12.994517]
global_step=3194, episodic_return=[4.611847]
global_step=3220, episodic_return=[-3.8203201]
global_step=3234, episodic_return=[-0.68872344]
global_step=3270, episodic_return=[12.439233]
global_step=3292, episodic_return=[-4.559366]
global_step=3310, episodic_return=[2.8352547]
